frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
662,9479248932000,1779380478486381853,0,54450,3
663,9479282254000,1779380478515155296,0,29881,2
664,9479315577000,1779380478544843137,0,15760,1
665,9479348899000,1779380478578056425,0,13616,1
666,9479382219000,1779380478603627177,0,13586,1
667,9479415539000,1779380478644488021,0,17109,1
668,9479448861000,1779380478678004936,0,17043,1
669,9479482183000,1779380478712251899,0,25316,2
670,9479515504000,1779380478745589316,0,24493,2
671,9479548826000,1779380478778774198,0,24705,2
672,9479582147000,1779380478812161262,0,24741,2
673,9479615469000,1779380478844613225,0,24498,2
674,9479648790000,1779380478878086603,0,30871,2
675,9479682111000,1779380478911357650,0,24109,2
676,9479715433000,1779380478944679808,0,30517,2
677,9479748754000,1779380478977906411,0,30029,2
678,9479782075000,1779380479013258234,0,30078,2
679,9479815397000,1779380479044793169,0,30052,2
680,9479848718000,1779380479077774533,0,30547,2
681,9479882041000,1779380479111108562,0,30526,2
682,9479915361000,1779380479144578366,0,30184,2
683,9479948683000,1779380479177823321,0,30718,2
684,9479982004000,1779380479211163756,0,30789,2
685,9480015325000,1779380479244615042,0,30354,2
686,9480048647000,1779380479277800349,0,30660,2
687,9480081969000,1779380479311037471,0,31142,2
688,9480115290000,1779380479345301897,0,30339,2
689,9480148612000,1779380479377808804,0,40574,2
690,9480181933000,1779380479411063740,0,30782,2
691,9480215254000,1779380479447011687,0,30899,2
692,9480248576000,1779380479477732278,0,30735,2
693,9480281897000,1779380479511122416,0,30775,2
694,9480315220000,1779380479544386297,0,30939,2
695,9480348540000,1779380479577870675,0,30373,2
696,9480381862000,1779380479611025927,0,31346,2
697,9480415183000,1779380479644330326,0,30792,2
698,9480448505000,1779380479677674280,0,40103,2
699,9480481826000,1779380479711113307,0,30406,2
700,9480515148000,1779380479744405242,0,30712,2
701,9480548469000,1779380479777730067,0,40174,2
702,9480581791000,1779380479810926152,0,30751,2
703,9480615113000,1779380479845706777,0,30916,2
704,9480648434000,1779380479877739262,0,39631,2
705,9480681755000,1779380479910879773,0,30547,2
706,9480715077000,1779380479944848962,0,39673,2
707,9480748398000,1779380479977540718,0,30032,2
708,9480781720000,1779380480011469592,0,30397,2
709,9480815041000,1779380480044364995,0,40119,2
710,9480848365000,1779380480077579820,0,30164,2
711,9480881685000,1779380480110875534,0,30994,2
712,9480915005000,1779380480144250099,0,31198,2
713,9480948327000,1779380480177428313,0,31347,2
714,9480981649000,1779380480210785989,0,40557,2
715,9481014970000,1779380480246042573,0,30754,2
716,9481048292000,1779380480277732505,0,40336,2
717,9481081613000,1779380480310781647,0,30652,2
718,9481114935000,1779380480344109935,0,31633,2
719,9481148256000,1779380480377396445,0,40698,2
720,9481181577000,1779380480410714288,0,31047,2
721,9481214899000,1779380480460820468,1,201970,10
722,9481248220000,1779380480482508035,0,58058,3
723,9481281542000,1779380480512309227,0,32725,2
724,9481314866000,1779380480544168547,0,18623,1
725,9481348187000,1779380480569327469,0,11597,1
726,9481381506000,1779380480610747233,0,15760,1
727,9481414828000,1779380480644664644,0,16052,1
728,9481448149000,1779380480680590444,0,19467,1
