frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
1742,9513430181000,1779380515050786091,0,28171,2
1743,9513463500000,1779380515084805126,0,15163,1
1744,9513496817000,1779380515115512362,0,7774,1
1745,9513530144000,1779380515148650184,0,8003,1
1746,9513563455000,1779380515182506888,0,10484,1
1747,9513596773000,1779380515215489582,0,10314,1
1748,9513630092000,1779380515248814643,0,9971,1
1749,9513663411000,1779380515282715476,0,9921,1
1750,9513696729000,1779380515315905983,0,14070,1
1751,9513730047000,1779380515349634058,0,13843,1
1752,9513763369000,1779380515384558177,0,13743,1
1753,9513796684000,1779380515415745056,0,13855,1
1754,9513830002000,1779380515449174801,0,13830,1
1755,9513863322000,1779380515482753304,0,13423,1
1756,9513896640000,1779380515515763091,0,13503,1
1757,9513929959000,1779380515548992042,0,13329,1
1758,9513963277000,1779380515582338288,0,13622,1
1759,9513996595000,1779380515615820754,0,13550,1
1760,9514029921000,1779380515649049094,0,13540,1
1761,9514063233000,1779380515683019482,0,19764,1
1762,9514096551000,1779380515716268821,0,19930,1
1763,9514129868000,1779380515749022166,0,13958,1
1764,9514163189000,1779380515782918758,0,19960,1
1765,9514196506000,1779380515815628937,0,14079,1
1766,9514229824000,1779380515849699972,0,13917,1
1767,9514263146000,1779380515882908775,0,19705,1
1768,9514296462000,1779380515915606712,0,13750,1
1769,9514329779000,1779380515949579896,0,19901,1
1770,9514363099000,1779380515982238927,0,13799,1
1771,9514396417000,1779380516016158093,0,19720,1
1772,9514429734000,1779380516048992196,0,13975,1
1773,9514463054000,1779380516083327988,0,20081,1
1774,9514496374000,1779380516115624485,0,13910,1
1775,9514529691000,1779380516149490318,0,19610,1
1776,9514563009000,1779380516182166220,0,13906,1
1777,9514596328000,1779380516216129367,0,19568,1
1778,9514629646000,1779380516248906989,0,14587,1
1779,9514662965000,1779380516282233494,0,13887,1
1780,9514696284000,1779380516316148197,0,19721,1
1781,9514729601000,1779380516349584979,0,19777,1
1782,9514762921000,1779380516382152382,0,13728,1
1783,9514796241000,1779380516416051937,0,19597,1
1784,9514829557000,1779380516448677412,0,13470,1
1785,9514862875000,1779380516482918427,0,20461,1
1786,9514896195000,1779380516515697771,0,13578,1
1787,9514929512000,1779380516549362458,0,19447,1
1788,9514962831000,1779380516582040693,0,13369,1
1789,9514996149000,1779380516625416390,0,18962,1
1790,9515029467000,1779380516670170517,0,19021,1
1791,9515062791000,1779380516702229388,0,13292,1
1792,9515096108000,1779380516739837182,0,18583,1
1793,9515129426000,1779380516768074722,0,18787,1
1794,9515162751000,1779380516800544570,0,13080,1
1795,9515196063000,1779380516833755836,0,18809,1
1796,9515229381000,1779380516867147377,0,18612,1
1797,9515262699000,1779380516903191206,0,13041,1
1798,9515296018000,1779380516933792962,0,18598,1
1799,9515329337000,1779380516967004802,0,18642,1
1800,9515362656000,1779380516999151691,0,12818,1
1801,9515395974000,1779380517046549753,1,77371,4
1802,9515429293000,1779380517068003679,0,26467,2
1803,9515462610000,1779380517100154104,0,13584,1
1804,9515495932000,1779380517133327407,0,9098,1
1805,9515529247000,1779380517165446999,0,8837,1
1806,9515562567000,1779380517198501470,0,8840,1
