EventWall_ns,RowType,Sink_Index,Sink_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1779367020385900037,SINK_ONLY,0,1779367020385900037,,,,
1779367020419338513,SINK_ONLY,1,1779367020419338513,,,,
1779367020459064888,SINK_ONLY,2,1779367020459064888,,,,
1779367020491049211,SINK_ONLY,3,1779367020491049211,,,,
1779367020527709274,SINK_ONLY,4,1779367020527709274,,,,
1779367020564975334,SINK_ONLY,5,1779367020564975334,,,,
1779367020602351571,SINK_ONLY,6,1779367020602351571,,,,
1779367020637256238,SINK_ONLY,7,1779367020637256238,,,,
1779367020672693275,SINK_ONLY,8,1779367020672693275,,,,
1779367020709052938,SINK_ONLY,9,1779367020709052938,,,,
1779367020745605894,SINK_ONLY,10,1779367020745605894,,,,
1779367020781566374,SINK_ONLY,11,1779367020781566374,,,,
1779367020817597853,SINK_ONLY,12,1779367020817597853,,,,
1779367020857279912,SINK_ONLY,13,1779367020857279912,,,,
1779367020889509064,SINK_ONLY,14,1779367020889509064,,,,
1779367020925552920,SINK_ONLY,15,1779367020925552920,,,,
1779367020962634976,SINK_ONLY,16,1779367020962634976,,,,
1779367020996212458,SINK_ONLY,17,1779367020996212458,,,,
1779367021033141847,SINK_ONLY,18,1779367021033141847,,,,
1779367021068328357,SINK_ONLY,19,1779367021068328357,,,,
1779367021105265569,SINK_ONLY,20,1779367021105265569,,,,
1779367021141101107,SINK_ONLY,21,1779367021141101107,,,,
1779367021178256929,SINK_ONLY,22,1779367021178256929,,,,
1779367021214388333,SINK_ONLY,23,1779367021214388333,,,,
1779367021249026765,SINK_ONLY,24,1779367021249026765,,,,
1779367021287040073,SINK_ONLY,25,1779367021287040073,,,,
1779367021321745971,SINK_ONLY,26,1779367021321745971,,,,
1779367021356916974,SINK_ONLY,27,1779367021356916974,,,,
1779367021393793239,SINK_ONLY,28,1779367021393793239,,,,
1779367021429259366,SINK_ONLY,29,1779367021429259366,,,,
1779367021466520731,SINK_ONLY,30,1779367021466520731,,,,
1779367021501929522,SINK_ONLY,31,1779367021501929522,,,,
1779367021537474290,SINK_ONLY,32,1779367021537474290,,,,
1779367021574205551,SINK_ONLY,33,1779367021574205551,,,,
1779367021610498972,SINK_ONLY,34,1779367021610498972,,,,
1779367021646433714,SINK_ONLY,35,1779367021646433714,,,,
1779367021681865916,SINK_ONLY,36,1779367021681865916,,,,
1779367021719497897,SINK_ONLY,37,1779367021719497897,,,,
1779367021756368344,SINK_ONLY,38,1779367021756368344,,,,
1779367021793390617,SINK_ONLY,39,1779367021793390617,,,,
1779367021829292157,SINK_ONLY,40,1779367021829292157,,,,
1779367021864878412,SINK_ONLY,41,1779367021864878412,,,,
1779367021901561927,SINK_ONLY,42,1779367021901561927,,,,
1779367021940668624,SINK_ONLY,43,1779367021940668624,,,,
1779367021975742449,SINK_ONLY,44,1779367021975742449,,,,
1779367022011740224,SINK_ONLY,45,1779367022011740224,,,,
1779367022047388449,SINK_ONLY,46,1779367022047388449,,,,
1779367022083074168,SINK_ONLY,47,1779367022083074168,,,,
1779367022120908367,SINK_ONLY,48,1779367022120908367,,,,
1779367022153650571,SINK_ONLY,49,1779367022153650571,,,,
1779367022194075044,SINK_ONLY,50,1779367022194075044,,,,
1779367022224858449,SINK_ONLY,51,1779367022224858449,,,,
1779367022259476478,SINK_ONLY,52,1779367022259476478,,,,
1779367022296175099,SINK_ONLY,53,1779367022296175099,,,,
1779367022331477825,SINK_ONLY,54,1779367022331477825,,,,
1779367022368934408,SINK_ONLY,55,1779367022368934408,,,,
1779367022404541005,SINK_ONLY,56,1779367022404541005,,,,
1779367022439793618,SINK_ONLY,57,1779367022439793618,,,,
1779367022476691169,SINK_ONLY,58,1779367022476691169,,,,
1779367022512238965,SINK_ONLY,59,1779367022512238965,,,,
1779367022555705797,SINK_ONLY,60,1779367022555705797,,,,
1779367022587088236,SINK_ONLY,61,1779367022587088236,,,,
1779367022621119167,SINK_ONLY,62,1779367022621119167,,,,
1779367022655687824,SINK_ONLY,63,1779367022655687824,,,,
1779367022691833673,SINK_ONLY,64,1779367022691833673,,,,
1779367022727886537,SINK_ONLY,65,1779367022727886537,,,,
1779367022763896890,SINK_ONLY,66,1779367022763896890,,,,
1779367022800294750,SINK_ONLY,67,1779367022800294750,,,,
1779367022836411911,SINK_ONLY,68,1779367022836411911,,,,
1779367022872689964,SINK_ONLY,69,1779367022872689964,,,,
1779367022908804336,SINK_ONLY,70,1779367022908804336,,,,
1779367022946606899,SINK_ONLY,71,1779367022946606899,,,,
1779367022981271511,SINK_ONLY,72,1779367022981271511,,,,
1779367023017449839,SINK_ONLY,73,1779367023017449839,,,,
1779367023053417702,SINK_ONLY,74,1779367023053417702,,,,
1779367023089475782,SINK_ONLY,75,1779367023089475782,,,,
1779367023125968613,SINK_ONLY,76,1779367023125968613,,,,
1779367023161710845,SINK_ONLY,77,1779367023161710845,,,,
1779367023197830273,SINK_ONLY,78,1779367023197830273,,,,
1779367023233935517,SINK_ONLY,79,1779367023233935517,,,,
1779367023271301523,SINK_ONLY,80,1779367023271301523,,,,
1779367023305988744,SINK_ONLY,81,1779367023305988744,,,,
1779367023342100588,SINK_ONLY,82,1779367023342100588,,,,
1779367023378278234,SINK_ONLY,83,1779367023378278234,,,,
1779367023415043861,SINK_ONLY,84,1779367023415043861,,,,
1779367023451118732,SINK_ONLY,85,1779367023451118732,,,,
1779367023487685108,SINK_ONLY,86,1779367023487685108,,,,
1779367023524007878,SINK_ONLY,87,1779367023524007878,,,,
1779367023558856694,SINK_ONLY,88,1779367023558856694,,,,
1779367023594782589,SINK_ONLY,89,1779367023594782589,,,,
1779367023631660660,SINK_ONLY,90,1779367023631660660,,,,
1779367023666949785,SINK_ONLY,91,1779367023666949785,,,,
1779367023703806109,SINK_ONLY,92,1779367023703806109,,,,
1779367023739149600,SINK_ONLY,93,1779367023739149600,,,,
1779367023775972222,SINK_ONLY,94,1779367023775972222,,,,
1779367023811841082,SINK_ONLY,95,1779367023811841082,,,,
1779367023847536049,SINK_ONLY,96,1779367023847536049,,,,
1779367023883560285,SINK_ONLY,97,1779367023883560285,,,,
1779367023920410391,SINK_ONLY,98,1779367023920410391,,,,
1779367023955645771,SINK_ONLY,99,1779367023955645771,,,,
1779367024005762530,SINK_ONLY,100,1779367024005762530,,,,
1779367024044497047,SINK_ONLY,101,1779367024044497047,,,,
1779367024082204919,SINK_ONLY,102,1779367024082204919,,,,
1779367024119986056,SINK_ONLY,103,1779367024119986056,,,,
1779367024157408836,SINK_ONLY,104,1779367024157408836,,,,
1779367024196171941,SINK_ONLY,105,1779367024196171941,,,,
1779367024217508651,SINK_ONLY,106,1779367024217508651,,,,
1779367024247103375,SINK_ONLY,107,1779367024247103375,,,,
1779367024282034202,SINK_ONLY,108,1779367024282034202,,,,
1779367024318188837,SINK_ONLY,109,1779367024318188837,,,,
1779367024354725262,SINK_ONLY,110,1779367024354725262,,,,
1779367024389773067,SINK_ONLY,111,1779367024389773067,,,,
1779367024425409456,SINK_ONLY,112,1779367024425409456,,,,
1779367024462005824,SINK_ONLY,113,1779367024462005824,,,,
1779367024497588708,SINK_ONLY,114,1779367024497588708,,,,
1779367024533287307,SINK_ONLY,115,1779367024533287307,,,,
1779367024570009741,SINK_ONLY,116,1779367024570009741,,,,
