EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
9455422704000,MATCHED,0,9455422704000,0,10204719575000,9455422704000,0,0.000000
9455456024000,MATCHED,1,9455456024000,1,10204755672000,9455458801000,-2777000,-2.777000
9455489343000,MATCHED,2,9455489343000,2,10204791767000,9455494896000,-5553000,-5.553000
9455522664000,MATCHED,3,9455522664000,3,10204827867000,9455530996000,-8332000,-8.332000
9455555980000,MATCHED,4,9455555980000,4,10204863953000,9455567082000,-11102000,-11.102000
9455589299000,MATCHED,5,9455589299000,5,10204900055000,9455603184000,-13885000,-13.885000
9455622617000,MATCHED,6,9455622617000,6,10204936152000,9455639281000,-16664000,-16.664000
9455655936000,MATCHED,7,9455655936000,7,10204972241000,9455675370000,-19434000,-19.434000
9455689254000,MATCHED,8,9455689254000,8,10205008337000,9455711466000,-22212000,-22.212000
9455722575000,MATCHED,9,9455722575000,9,10205044430000,9455747559000,-24984000,-24.984000
9455755891000,MATCHED,10,9455755891000,10,10205080526000,9455783655000,-27764000,-27.764000
9455789209000,MATCHED,11,9455789209000,11,10205116621000,9455819750000,-30541000,-30.541000
9455822526000,MATCHED,12,9455822526000,12,10205152725000,9455855854000,-33328000,-33.328000
9455855845000,MATCHED,13,9455855845000,13,10205188812000,9455891941000,-36096000,-36.096000
9455889165000,MATCHED,14,9455889165000,14,10205224905000,9455928034000,-38869000,-38.869000
9455922483000,MATCHED,15,9455922483000,15,10205261002000,9455964131000,-41648000,-41.648000
9455955801000,MATCHED,16,9455955801000,16,10205297097000,9456000226000,-44425000,-44.425000
9455989120000,MATCHED,17,9455989120000,17,10205333188000,9456036317000,-47197000,-47.197000
9456022437000,MATCHED,18,9456022437000,18,10205369282000,9456072411000,-49974000,-49.974000
9456055760000,MATCHED,19,9456055760000,19,10205405377000,9456108506000,-52746000,-52.746000
9456089075000,MATCHED,20,9456089075000,20,10205441472000,9456144601000,-55526000,-55.526000
9456122394000,MATCHED,21,9456122394000,21,10205477567000,9456180696000,-58302000,-58.302000
9456155711000,MATCHED,22,9456155711000,22,10205513665000,9456216794000,-61083000,-61.083000
9456189029000,MATCHED,23,9456189029000,23,10205549760000,9456252889000,-63860000,-63.860000
9456222349000,MATCHED,24,9456222349000,24,10205585855000,9456288984000,-66635000,-66.635000
9456255668000,MATCHED,25,9456255668000,25,10205621947000,9456325076000,-69408000,-69.408000
9456288986000,MATCHED,26,9456288986000,26,10205658042000,9456361171000,-72185000,-72.185000
9456322304000,MATCHED,27,9456322304000,27,10205694137000,9456397266000,-74962000,-74.962000
9456355624000,MATCHED,28,9456355624000,28,10205730232000,9456433361000,-77737000,-77.737000
9456388941000,MATCHED,29,9456388941000,29,10205766328000,9456469457000,-80516000,-80.516000
9456422259000,MATCHED,30,9456422259000,30,10205802422000,9456505551000,-83292000,-83.292000
9456455578000,MATCHED,31,9456455578000,31,10205838517000,9456541646000,-86068000,-86.068000
9456488897000,MATCHED,32,9456488897000,32,10205874613000,9456577742000,-88845000,-88.845000
9456522216000,MATCHED,33,9456522216000,33,10205910708000,9456613837000,-91621000,-91.621000
9456555535000,MATCHED,34,9456555535000,34,10205946803000,9456649932000,-94397000,-94.397000
9456588864000,MATCHED,35,9456588864000,35,10205982897000,9456686026000,-97162000,-97.162000
9456622170000,MATCHED,36,9456622170000,36,10206018992000,9456722121000,-99951000,-99.951000
9456655490000,MATCHED,37,9456655490000,37,10206055087000,9456758216000,-102726000,-102.726000
9456688807000,MATCHED,38,9456688807000,38,10206091184000,9456794313000,-105506000,-105.506000
9456722126000,MATCHED,39,9456722126000,39,10206127285000,9456830414000,-108288000,-108.288000
9456755444000,MATCHED,40,9456755444000,40,10206163380000,9456866509000,-111065000,-111.065000
9456788763000,MATCHED,41,9456788763000,41,10206199475000,9456902604000,-113841000,-113.841000
9456822082000,MATCHED,42,9456822082000,42,10206235565000,9456938694000,-116612000,-116.612000
9456855402000,MATCHED,43,9456855402000,43,10206271684000,9456974813000,-119411000,-119.411000
9456888720000,MATCHED,44,9456888720000,44,10206307764000,9457010893000,-122173000,-122.173000
9456922039000,MATCHED,45,9456922039000,45,10206343857000,9457046986000,-124947000,-124.947000
9456955357000,MATCHED,46,9456955357000,46,10206379949000,9457083078000,-127721000,-127.721000
9456988676000,MATCHED,47,9456988676000,47,10206416051000,9457119180000,-130504000,-130.504000
9457021995000,MATCHED,48,9457021995000,48,10206452170000,9457155299000,-133304000,-133.304000
9457055315000,MATCHED,49,9457055315000,49,10206488230000,9457191359000,-136044000,-136.044000
9457088632000,MATCHED,50,9457088632000,50,10206524330000,9457227459000,-138827000,-138.827000
