flight_id,start_frame,end_frame,origin_track_ids,primary_origin_track_id,crossed_sides,crossed_sides_confidence,likely_net_hit,ended_near_net,counts_as_shot,counts_in_shot_stats,shot_id,dedupe_reason,reason_codes,net_crossing_frame,landing_x,landing_y,landing_confidence,bounce_frame,bounce_x,bounce_y,bounce_z,bounce_score,bounce_mode,bbox_source_x,bbox_source_y,bbox_source_w,bbox_source_h,bbox_sink_x,bbox_sink_y,bbox_sink_w,bbox_sink_h,bounce_hq_frame,window_frames
0,20,31,2,2,0,0.0,0,0,0,0,,,low_displacement,,2.466803639870562,5.68206929035063,0.9458777683911579,,,,,0.0,,,,,,,,,,,"20,21,22,23,24,25,26,27,28,29,30,31"
1,41,60,"5,4,6,8",5,1,0.7,0,0,1,1,0,,,51,4.678114680716469,9.503081964550141,0.8954062211327124,,,,,0.0,,,,,,,,,,,"41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60"
2,61,135,"8,7,9,12,11,13",12,0,0.0,0,0,1,1,1,,,,,,0.0,76,4.5832393473166695,8.833936033246317,0.017865027904583997,0.7310752753277514,valley,916.0,393.0,19.0,26.0,795.0,367.0,25.0,26.0,,"61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,128,129,130,131,132,134,135"
3,1449,1479,"18,19,20,21,22,23",19,1,0.8571428571428571,0,0,1,1,2,,,1463,,,0.0,1476,1.3398938927348272,0.8238580447322157,0.09941051408359414,0.6696869285832401,valley,680.0,180.0,25.0,26.0,472.0,191.0,25.0,26.0,1494,"1449,1450,1452,1453,1454,1455,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1479"
4,1488,1530,"24,25,26,28",26,1,0.5263157894736842,0,0,1,1,3,,,1502,,,0.0,1519,2.7023554250223008,11.201143248111588,-0.04245392054911434,0.6831797618959736,valley,660.0,543.0,22.0,26.0,627.0,558.0,22.0,26.0,1537,"1488,1489,1490,1494,1495,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530"
5,1532,1567,29,29,1,0.75,0,0,1,1,4,,,1553,,,0.0,1560,1.6845001042463834,4.9860178377039155,0.17626491717972526,0.6311832485508697,valley,666.0,247.0,11.0,18.0,489.0,258.0,19.0,26.0,1578,"1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1565,1566,1567"
6,1573,1607,"30,31",31,1,0.11764705882352941,1,0,1,1,5,,,1581,,,0.0,1590,1.2053650492040613,6.755413395375569,0.18370185985229415,0.42924935499191896,valley,601.0,288.0,14.0,22.0,438.0,311.0,19.0,22.0,1608,"1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607"
7,1639,1671,34,34,0,0.0,0,0,1,1,6,,,1640,2.49258991450984,10.166715471942965,0.6648122238834723,,,,,0.0,,,,,,,,,,,"1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1652,1653,1654,1655,1656,1657,1658,1659,1664,1665,1666,1667,1668,1669,1670,1671"
8,1696,1711,35,35,0,0.0,0,0,1,1,7,,,,1.8580187656211629,13.482275141045916,0.9553224965243603,,,,,0.0,,,,,,,,,,,"1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1711"
9,1755,1765,"36,37",37,0,0.0,0,0,0,0,,,low_displacement,,1.5570572392960869,13.95676471755051,0.8800523047003422,,,,,0.0,,,,,,,,,,,"1755,1756,1760,1761,1762,1763,1764,1765"
10,1968,1975,40,40,0,0.0,0,0,0,0,,,low_displacement,,1.4186802927845843,13.743694495173406,0.9327469571089801,,,,,0.0,,,,,,,,,,,"1968,1969,1970,1971,1972,1973,1974,1975"
11,2016,2061,"41,42",41,1,0.6818181818181818,0,0,1,1,8,,,2047,,,0.0,2060,5.196498754285846,0.5607666535462812,0.09037105876882023,0.5,ground_hit_fallback,905.0,176.0,16.0,18.0,700.0,176.0,11.0,15.0,2078,"2016,2017,2018,2019,2020,2021,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061"
12,2072,2109,"44,45",44,1,0.5789473684210527,0,0,1,1,9,,,2083,,,0.0,2098,3.3325253811971574,10.336079683262584,0.08604420805867541,0.648322018856366,valley,762.0,465.0,22.0,33.0,697.0,461.0,19.0,22.0,2115,"2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109"
