frame,src_index,sink_index,selected,selected_by_formula2,cost_formula1,cost_formula2,epipolar_cost,reprojection_cost,temporal_cost,is_ambiguous,alternatives
0,0,0,0,0,11.805063,11.805063,0.366297,11.805063,0.000000,0,src:0->sink:1|f1:0.4528|f2:0.4528;src:0->sink:2|f1:6.4518|f2:6.4518;src:0->sink:3|f1:5.5144|f2:5.5144
0,0,1,1,0,0.452783,0.452783,12.324721,0.452783,0.000000,0,src:0->sink:0|f1:11.8051|f2:11.8051;src:0->sink:2|f1:6.4518|f2:6.4518;src:0->sink:3|f1:5.5144|f2:5.5144
0,0,2,0,0,6.451849,6.451849,5.409968,6.451849,0.000000,0,src:0->sink:0|f1:11.8051|f2:11.8051;src:0->sink:1|f1:0.4528|f2:0.4528;src:0->sink:3|f1:5.5144|f2:5.5144
0,0,3,0,0,5.514392,5.514392,6.292132,5.514392,0.000000,0,src:0->sink:0|f1:11.8051|f2:11.8051;src:0->sink:1|f1:0.4528|f2:0.4528;src:0->sink:2|f1:6.4518|f2:6.4518
1,0,0,0,0,1.547908,7.031964,10.343450,1.547908,10.968113,0,src:0->sink:1|f1:4.3963|f2:6.3019
1,0,1,1,1,4.396348,6.301889,16.376920,4.396348,3.811083,1,src:0->sink:0|f1:1.5479|f2:7.0320
2,0,0,1,0,20.267460,425.429047,8.042874,20.267460,810.323175,0,
3,0,0,1,0,21.606430,28.075265,9.392665,21.606430,12.937668,0,
4,0,0,1,0,27.002656,36.393272,14.856634,27.002656,18.781231,0,
5,0,0,1,0,28.260366,34.096321,16.126144,28.260366,11.671910,0,
6,0,0,1,0,30.628914,42.090570,18.508318,30.628914,22.923312,0,
7,0,0,1,0,28.637361,37.367193,16.538910,28.637361,17.459664,0,
8,0,0,1,0,26.214235,32.869324,14.131047,26.214235,13.310178,0,
9,0,0,1,0,27.924260,35.094535,15.857325,27.924260,14.340551,0,
10,0,0,1,0,22.945687,32.228090,10.832917,22.945687,18.564805,0,
11,0,0,1,0,16.669435,23.679505,4.556756,16.669435,14.020139,0,
12,0,0,1,0,14.000052,19.036264,1.888962,14.000052,10.072424,0,
13,0,0,1,0,5.616728,15.476171,6.506172,5.616728,19.718885,0,
14,0,0,1,0,0.172944,5.912624,11.962148,0.172944,11.479359,0,
15,0,0,1,0,2.138681,7.990060,14.277568,2.138681,11.702759,0,
16,0,0,0,0,1.657637,312.645137,10.232389,1.657637,621.975001,0,src:0->sink:1|f1:4.4279|f2:10.2491
16,0,1,1,1,4.427887,10.249069,16.571735,4.427887,11.642364,1,src:0->sink:0|f1:1.6576|f2:312.6451
17,0,0,0,0,2.248291,309.443694,14.280168,2.248291,614.390805,0,src:0->sink:1|f1:0.3064|f2:6.2730
17,0,1,1,0,0.306378,6.273027,12.503406,0.306378,11.933297,1,src:0->sink:0|f1:2.2483|f2:309.4437
18,0,0,1,1,6.696076,10.315010,5.469130,6.696076,7.237868,1,src:0->sink:1|f1:2.6805|f2:305.7946
18,0,1,0,0,2.680512,305.794582,14.720076,2.680512,606.228142,0,src:0->sink:0|f1:6.6961|f2:10.3150
19,0,0,1,0,2.248291,305.934404,14.280168,2.248291,607.372226,0,src:0->sink:1|f1:14.2460|f2:18.1013
19,0,1,0,0,14.246037,18.101330,2.114346,14.246037,7.710588,0,src:0->sink:0|f1:2.2483|f2:305.9344
20,0,0,0,0,17.080356,321.846277,4.960753,17.080356,609.531842,0,src:0->sink:1|f1:2.2483|f2:2.2483
20,0,1,1,0,2.248291,2.248291,14.280168,2.248291,0.000000,0,src:0->sink:0|f1:17.0804|f2:321.8463
21,0,0,0,0,24.727688,331.762506,12.626556,24.727688,614.069637,0,src:0->sink:1|f1:2.1815|f2:3.6033
21,0,1,1,0,2.181476,3.603328,14.209676,2.181476,2.843704,0,src:0->sink:0|f1:24.7277|f2:331.7625
22,0,0,0,0,24.727688,330.340654,12.626556,24.727688,611.225932,0,src:0->sink:1|f1:1.4462|f2:3.3204
