Frame,Visibility,X,Y,Z,Original_Frame,Point_Coordinates_Camera1,Point_Coordinates_Camera2,Point_Costs_Formula1,Point_Costs_Formula2,Point_Costs_Epipolar,Point_Costs_Reprojection,Point_Costs_Temporal
0,1,[2.4170 ],[6.0681 ],[0.1791 ],0,"[(717.0000, 281.0000)]","[(559.0000, 292.0000)]",[0.452783],[0.452783],[12.324721],[0.452783],[0.000000]
1,1,[2.4195 ],[6.1032 ],[0.2151 ],1,"[(717.0000, 277.0000)]","[(559.0000, 292.0000)]",[4.396348],[6.301889],[16.376920],[4.396348],[3.811083]
2,1,[3.3832 ],[14.6212 ],[3.0031 ],2,"[(720.0000, 277.0000)]","[(1378.0000, 142.0000)]",[20.267460],[425.429047],[8.042874],[20.267460],[810.323175]
3,1,[3.3818 ],[14.6092 ],[3.0001 ],3,"[(720.0000, 277.0000)]","[(1366.0000, 142.0000)]",[21.606430],[28.075265],[9.392665],[21.606430],[12.937668]
4,1,[3.3802 ],[14.5961 ],[2.9949 ],4,"[(720.0000, 281.0000)]","[(1352.0000, 142.0000)]",[27.002656],[36.393272],[14.856634],[27.002656],[18.781231]
5,1,[3.3789 ],[14.5846 ],[2.9920 ],5,"[(720.0000, 281.0000)]","[(1341.0000, 142.0000)]",[28.260366],[34.096321],[16.126144],[28.260366],[11.671910]
6,1,[3.3783 ],[14.5613 ],[2.9861 ],6,"[(722.0000, 281.0000)]","[(1321.0000, 142.0000)]",[30.628914],[42.090570],[18.508318],[30.628914],[22.923312]
7,1,[3.3764 ],[14.5433 ],[2.9795 ],7,"[(722.0000, 281.0000)]","[(1305.0000, 146.0000)]",[28.637361],[37.367193],[16.538910],[28.637361],[17.459664]
8,1,[3.3751 ],[14.5295 ],[2.9738 ],8,"[(722.0000, 281.0000)]","[(1293.0000, 150.0000)]",[26.214235],[32.869324],[14.131047],[26.214235],[13.310178]
9,1,[3.3732 ],[14.5129 ],[2.9697 ],9,"[(722.0000, 281.0000)]","[(1279.0000, 150.0000)]",[27.924260],[35.094535],[15.857325],[27.924260],[14.340551]
10,1,[3.3714 ],[14.4942 ],[2.9655 ],10,"[(722.0000, 277.0000)]","[(1265.0000, 153.0000)]",[22.945687],[32.228090],[10.832917],[22.945687],[18.564805]
11,1,[3.3702 ],[14.4804 ],[2.9575 ],11,"[(722.0000, 277.0000)]","[(1254.0000, 161.0000)]",[16.669435],[23.679505],[4.556756],[16.669435],[14.020139]
12,1,[3.3691 ],[14.4688 ],[2.9522 ],12,"[(722.0000, 277.0000)]","[(1245.0000, 165.0000)]",[14.000052],[19.036264],[1.888962],[14.000052],[10.072424]
13,1,[3.3671 ],[14.4478 ],[2.9404 ],13,"[(722.0000, 277.0000)]","[(1229.0000, 176.0000)]",[5.616728],[15.476171],[6.506172],[5.616728],[19.718885]
14,1,[3.3660 ],[14.4357 ],[2.9330 ],14,"[(722.0000, 277.0000)]","[(1220.0000, 183.0000)]",[0.172944],[5.912624],[11.962148],[0.172944],[11.479359]
15,1,[3.3644 ],[14.4204 ],[2.9266 ],15,"[(722.0000, 277.0000)]","[(1209.0000, 187.0000)]",[2.138681],[7.990060],[14.277568],[2.138681],[11.702759]
16,1,[3.3627 ],[14.4046 ],[2.9199 ],16,"[(722.0000, 277.0000)]","[(1198.0000, 191.0000)]",[4.427887],[10.249069],[16.571735],[4.427887],[11.642364]
