segment_index,seg_basename,cumulative_start_frame,frame_count
0,seg_00000.ts,0,180
1,seg_00001.ts,180,120
2,seg_00002.ts,300,120
3,seg_00003.ts,420,120
4,seg_00004.ts,540,120
5,seg_00005.ts,660,120
6,seg_00006.ts,780,120
7,seg_00007.ts,900,120
8,seg_00008.ts,1020,120
9,seg_00009.ts,1140,120
10,seg_00010.ts,1260,54
11,seg_00011.ts,1314,120
12,seg_00012.ts,1434,100
13,seg_00013.ts,1534,120
14,seg_00014.ts,1654,120
15,seg_00015.ts,1774,31
16,seg_00016.ts,1805,120
17,seg_00017.ts,1925,76
18,seg_00018.ts,2001,120
19,seg_00019.ts,2121,120
20,seg_00020.ts,2241,120
21,seg_00021.ts,2361,120
22,seg_00022.ts,2481,54
23,seg_00023.ts,2535,120
24,seg_00024.ts,2655,92
25,seg_00025.ts,2747,120
26,seg_00026.ts,2867,120
27,seg_00027.ts,2987,23
