segment_index,seg_basename,cumulative_start_frame,frame_count
0,seg_00000.ts,0,180
1,seg_00001.ts,180,120
2,seg_00002.ts,300,120
3,seg_00003.ts,420,120
4,seg_00004.ts,540,120
5,seg_00005.ts,660,120
6,seg_00006.ts,780,120
7,seg_00007.ts,900,120
8,seg_00008.ts,1020,120
9,seg_00009.ts,1140,120
10,seg_00010.ts,1260,120
11,seg_00011.ts,1380,120
12,seg_00012.ts,1500,120
13,seg_00013.ts,1620,120
14,seg_00014.ts,1740,120
15,seg_00015.ts,1860,120
16,seg_00016.ts,1980,120
17,seg_00017.ts,2100,120
18,seg_00018.ts,2220,120
19,seg_00019.ts,2340,120
20,seg_00020.ts,2460,120
21,seg_00021.ts,2580,120
22,seg_00022.ts,2700,120
23,seg_00023.ts,2820,120
24,seg_00024.ts,2940,120
25,seg_00025.ts,3060,120
26,seg_00026.ts,3180,120
