Frame,X,Y,Visibility,BBox_X,BBox_Y,BBox_W,BBox_H
0,[1417, 559, 556, 562],[150, 292, 285, 285],1,[1409, 556, 554, 562],[142, 292, 285, 285],[19, 5, 5, 2],[18, 3, 3, 3]
1,[562, 559],[285, 292],1,[562, 559],[285, 292],[2, 2],[3, 3]
2,[1378],[142],1,[1372],[131],[14],[22]
3,[1366],[142],1,[1361],[135],[14],[18]
4,[1352],[142],1,[1344],[131],[16],[22]
5,[1341],[142],1,[1333],[131],[19],[22]
6,[1321],[142],1,[1307],[131],[30],[22]
7,[1305],[146],1,[1285],[131],[39],[30]
8,[1293],[150],1,[1276],[135],[33],[30]
9,[1279],[150],1,[1265],[138],[30],[26]
10,[1265],[153],1,[1254],[142],[25],[26]
11,[1254],[161],1,[1245],[146],[19],[30]
12,[1245],[165],1,[1234],[153],[22],[26]
13,[1229],[176],1,[1217],[161],[22],[30]
14,[1220],[183],1,[1212],[172],[16],[22]
15,[1209],[187],1,[1195],[172],[30],[30]
16,[562, 1198],[285, 191],1,[551, 1186],[273, 180],[25, 22],[26, 22]
17,[562, 1195],[285, 183],1,[551, 1184],[273, 172],[25, 22],[26, 26]
18,[1192, 565],[176, 285],1,[1184, 554],[165, 273],[19, 22],[26, 22]
19,[562, 1192],[285, 168],1,[554, 1184],[273, 161],[19, 19],[22, 18]
20,[1192, 562],[165, 285],1,[1184, 554],[153, 273],[19, 19],[22, 22]
21,[1192, 562],[157, 285],1,[1184, 554],[146, 273],[16, 16],[26, 22]
22,[1192, 562],[157, 281],1,[1184, 554],[146, 273],[16, 16],[22, 18]
23,[1192, 562],[153, 281],1,[1184, 554],[142, 273],[16, 16],[22, 18]
24,[562],[281],1,[554],[270],[16],[22]
25,[562],[281],1,[556],[270],[14],[22]
26,[562],[281],1,[556],[273],[14],[15]
27,[562],[281],1,[556],[273],[11],[15]
28,[562],[281],1,[556],[277],[11],[7]
29,[559],[281],1,[556],[277],[8],[7]
30,[562],[277],1,[556],[273],[11],[11]
31,[562],[277],1,[556],[270],[11],[18]
32,[1155],[161],1,[1147],[150],[16],[22]
33,[1164],[157],1,[1155],[146],[16],[22]
34,[1175],[153],1,[1164],[142],[22],[22]
35,[1186],[142],1,[1178],[131],[16],[26]
36,[1200],[138],1,[1192],[127],[16],[22]
37,[1212],[135],1,[1203],[123],[19],[22]
38,[1223],[127],1,[1215],[116],[19],[26]
39,[1234],[123],1,[1226],[112],[19],[22]
40,[1248, 562],[123, 266],1,[1237, 559],[112, 262],[22, 8],[22, 11]
41,[1257, 568],[120, 266],1,[1248, 559],[108, 255],[19, 16],[26, 26]
42,[1271, 570],[120, 255],1,[1260, 562],[108, 243],[22, 16],[26, 26]
43,[1285, 570],[120, 243],1,[1276, 562],[108, 232],[19, 19],[26, 26]
44,[1293, 573],[120, 236],1,[1285, 565],[108, 225],[19, 19],[22, 22]
45,[1305, 579],[120, 221],1,[1296, 570],[108, 210],[19, 16],[22, 26]
46,[1316, 582],[123, 210],1,[1305, 573],[112, 198],[22, 19],[22, 22]
47,[1335, 590, 1274],[127, 198, 131],1,[1321, 579, 1274],[116, 187, 131],[28, 22, 2],[22, 22, 3]
48,[1344, 590],[131, 191],1,[1333, 582],[120, 180],[25, 19],[26, 26]
49,[1355, 596],[138, 183],1,[1347, 587],[127, 172],[19, 19],[26, 22]
50,[1369, 604],[150, 172],1,[1355, 596],[138, 161],[28, 19],[26, 26]
51,[1378, 613],[161, 165],1,[1366, 604],[146, 153],[25, 19],[30, 26]
52,[618, 1386],[161, 168],1,[610, 1378],[150, 157],[19, 19],[26, 22]
53,[1400, 621],[180, 157],1,[1389, 613],[165, 146],[22, 19],[30, 22]
54,[1406, 627],[187, 153],1,[1395, 618],[176, 142],[22, 19],[26, 22]
55,[1414, 632],[195, 150],1,[1403, 621],[183, 138],[25, 22],[26, 26]
56,[646, 720],[150, 303],1,[635, 714],[138, 296],[22, 11],[22, 15]
57,[652, 717],[150, 303],1,[641, 711],[138, 296],[25, 14],[22, 18]
58,[660, 717],[150, 303],1,[649, 711],[138, 296],[22, 14],[26, 18]
59,[669, 717],[153, 303],1,[655, 711],[142, 296],[28, 14],[22, 18]
60,[675, 717],[153, 303],1,[663, 711],[142, 296],[22, 14],[26, 18]
61,[680, 720],[161, 307],1,[672, 714],[150, 300],[19, 11],[26, 15]
62,[691, 722],[168, 303],1,[680, 722],[157, 300],[22, 2],[22, 7]
63,[703],[176],1,[691],[165],[25],[26]
64,[703],[183],1,[691],[172],[22],[22]
65,[717],[195],1,[708],[183],[19],[22]
66,[725],[206],1,[717],[195],[16],[26]
67,[734],[217],1,[725],[206],[19],[26]
68,[742],[236],1,[734],[221],[19],[30]
69,[756],[247],1,[742],[236],[28],[26]
70,[765],[266],1,[753],[255],[22],[26]
71,[770],[281],1,[759],[266],[22],[30]
72,[779, 1400],[300, 150],1,[767, 1395],[288, 142],[22, 14],[22, 15]
73,[781, 1403, 815],[322, 153, 333],1,[773, 1395, 812],[307, 146, 330],[16, 16, 5],[30, 18, 7]
74,[801, 1403],[341, 157],1,[784, 1395],[330, 146],[33, 16],[26, 22]
75,[801, 1403],[363, 161],1,[790, 1395],[348, 153],[22, 16],[30, 18]
76,[807, 1400],[378, 165],1,[795, 1392],[367, 157],[25, 16],[26, 15]
77,[818],[367],1,[804],[356],[28],[26]
78,[826],[360],1,[815],[348],[25],[26]
79,[832],[352],1,[821],[337],[22],[30]
80,[838],[341],1,[829],[330],[19],[26]
81,[843],[333],1,[835],[322],[19],[26]
82,[849],[330],1,[840],[318],[19],[22]
83,[857],[330],1,[846],[318],[22],[22]
84,[863],[326],1,[852],[315],[25],[22]
85,[874],[326],1,[863],[315],[22],[26]
86,[880],[326],1,[871],[315],[16],[26]
87,[883],[326],1,[871],[315],[22],[26]
88,[888],[330],1,[874],[318],[28],[26]
89,[897],[333],1,[885],[322],[25],[26]
90,[905],[341],1,[894],[330],[22],[22]
91,[911],[345],1,[900],[333],[22],[26]
92,[919],[352],1,[911],[341],[19],[26]
93,[922],[363],1,[914],[352],[19],[22]
94,[930],[375],1,[922],[363],[16],[26]
95,[936],[386],1,[925],[375],[22],[26]
96,[942],[397],1,[933],[382],[19],[30]
97,[947],[412],1,[939],[397],[16],[30]
98,[947],[412],1,[939],[397],[19],[33]
99,[959],[405],1,[950],[393],[19],[22]
100,[967],[397],1,[959],[386],[19],[26]
101,[978],[393],1,[967],[382],[25],[26]
102,[987],[393],1,[975],[382],[25],[22]
103,[995],[393],1,[981],[382],[28],[22]
104,[1001],[390],1,[990],[378],[25],[26]
105,[1006],[393],1,[992],[382],[28],[22]
106,[1012],[393],1,[1001],[382],[22],[26]
107,[1018],[397],1,[1009],[386],[19],[26]
108,[1026],[401],1,[1015],[390],[22],[26]
109,[1032],[408],1,[1023],[397],[19],[26]
110,[1037],[416],1,[1029],[405],[19],[26]
111,[1043],[423],1,[1035],[412],[19],[26]
112,[1051],[435],1,[1040],[420],[25],[33]
113,[1057],[442],1,[1046],[427],[25],[33]
114,[1065],[442],1,[1051],[427],[28],[30]
115,[1071],[438],1,[1060],[427],[25],[26]
116,[1077],[438],1,[1065],[427],[25],[22]
117,[1085],[438],1,[1074],[427],[22],[22]
118,[1096],[438],1,[1085],[427],[25],[26]
119,[1105],[438],1,[1094],[427],[22],[26]
120,[1110],[442],1,[1094],[431],[33],[26]
121,[1116],[446],1,[1105],[435],[25],[26]
122,[1125],[453],1,[1113],[438],[25],[30]
123,[1130],[461],1,[1119],[450],[25],[26]
124,[1136],[465],1,[1125],[453],[25],[22]
125,[1144],[465],1,[1136],[457],[19],[18]
126,[1150],[465],1,[1141],[457],[19],[18]
127,[1158],[461],1,[1150],[453],[19],[18]
128,[1170],[465],1,[1158],[453],[25],[26]
129,[1178],[468],1,[1164],[457],[28],[26]
130,[1189],[472],1,[1175],[461],[30],[26]
131,[1198],[476],1,[1184],[465],[30],[26]
132,[1209],[476],1,[1186],[465],[45],[26]
133,[1217],[476],1,[1198],[465],[39],[26]
134,[1220],[480],1,[1203],[468],[36],[22]
135,[1226],[480],1,[1209],[468],[33],[22]
136,[1237],[487],1,[1220],[472],[36],[33]
137,[1245],[491],1,[1226],[480],[42],[26]
138,[1254],[495],1,[1231],[483],[45],[26]
139,[1260],[498],1,[1245],[487],[30],[22]
140,[1274],[498],1,[1254],[487],[39],[26]
141,[1276],[502],1,[1262],[491],[30],[22]
142,[1282],[502],1,[1271],[491],[25],[26]
143,[1285],[506],1,[1276],[495],[19],[22]
144,[1305],[510],1,[1285],[495],[42],[30]
145,[1310],[513],1,[1290],[498],[42],[30]
146,[1319],[517],1,[1302],[502],[33],[30]
147,[1321],[517],1,[1310],[502],[25],[33]
148,[1324],[521],1,[1316],[510],[16],[22]
149,[0],[0],0,[0],[0],[0],[0]
150,[0],[0],0,[0],[0],[0],[0]
151,[1366],[521],1,[1366],[521],[2],[3]
152,[0],[0],0,[0],[0],[0],[0]
153,[0],[0],0,[0],[0],[0],[0]
154,[0],[0],0,[0],[0],[0],[0]
155,[0],[0],0,[0],[0],[0],[0]
156,[0],[0],0,[0],[0],[0],[0]
157,[0],[0],0,[0],[0],[0],[0]
158,[0],[0],0,[0],[0],[0],[0]
159,[0],[0],0,[0],[0],[0],[0]
160,[0],[0],0,[0],[0],[0],[0]
161,[0],[0],0,[0],[0],[0],[0]
162,[0],[0],0,[0],[0],[0],[0]
163,[0],[0],0,[0],[0],[0],[0]
164,[0],[0],0,[0],[0],[0],[0]
165,[0],[0],0,[0],[0],[0],[0]
166,[0],[0],0,[0],[0],[0],[0]
167,[0],[0],0,[0],[0],[0],[0]
168,[0],[0],0,[0],[0],[0],[0]
169,[0],[0],0,[0],[0],[0],[0]
170,[0],[0],0,[0],[0],[0],[0]
171,[0],[0],0,[0],[0],[0],[0]
172,[0],[0],0,[0],[0],[0],[0]
173,[0],[0],0,[0],[0],[0],[0]
174,[0],[0],0,[0],[0],[0],[0]
175,[0],[0],0,[0],[0],[0],[0]
176,[1400],[573],1,[1397],[570],[8],[11]
177,[0],[0],0,[0],[0],[0],[0]
