valid_bounce,flight_id,start_frame,end_frame,origin_track_ids,primary_origin_track_id,crossed_sides,crossed_sides_confidence,likely_net_hit,ended_near_net,counts_as_shot,counts_in_shot_stats,shot_id,dedupe_reason,reason_codes,net_crossing_frame,landing_x,landing_y,landing_confidence,bounce_frame,bounce_x,bounce_y,bounce_z,bounce_score,bounce_mode,bbox_source_x,bbox_source_y,bbox_source_w,bbox_source_h,bbox_sink_x,bbox_sink_y,bbox_sink_w,bbox_sink_h,bounce_sink_frame,bounce_hq_frame,has_direction_change,direction_change_frame,direction_change_x,direction_change_y,direction_change_z,direction_change_mode,direction_change_sink_frame,direction_change_hq_frame,direction_change_bbox_source_x,direction_change_bbox_source_y,direction_change_bbox_source_w,direction_change_bbox_source_h,direction_change_bbox_sink_x,direction_change_bbox_sink_y,direction_change_bbox_sink_w,direction_change_bbox_sink_h,window_frames
1,0,7,31,"0,1,3",1,1,0.8333333333333334,0,0,1,1,0,,,17,,,0.0,27,0.5051936140541419,1.6502027959059506,-0.15649457441555958,0.7258922502914875,valley,627.0,210.0,25.0,26.0,419.0,221.0,25.0,22.0,27,49,0,,,,,,,,,,,,,,,,"7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
0,1,51,58,6,6,1,0.6666666666666666,1,1,1,1,1,,,53,1.3144435987776975,7.3821966311513965,0.9391816183147748,,,,,0.0,,,,,,,,,,,,1,62,1.2123809288469378,6.531032918034705,0.037422041747276924,cross_next_flight,,,604.0,296.0,16.0,22.0,444.0,315.0,19.0,26.0,"51,52,53,54,55,58"
0,2,59,85,"6,4,5",6,1,0.25,1,0,1,1,2,,,60,,,0.0,80,1.162016031541191,5.852853216991075,0.03231122190967517,0.4645199490524671,valley,613.0,277.0,16.0,26.0,444.0,296.0,16.0,26.0,80,103,0,,,,,,,,,,,,,,,,"59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,80,81,82,83,84,85"
1,3,136,181,"7,8,9",8,1,0.09523809523809523,0,0,1,1,3,,,140,,,0.0,160,2.267397690664223,10.507666269586128,0.02895070485237161,0.6694458512320203,valley,618.0,476.0,22.0,30.0,554.0,498.0,22.0,26.0,160,183,1,185,2.838362978703604,13.39115677039467,0.0073992396538972716,end_flight_fallback,,,613.0,705.0,19.0,22.0,669.0,705.0,14.0,18.0,"136,137,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,176,177,178,179,180,181"
0,4,240,256,11,11,0,0.0,0,0,0,0,,,low_displacement,,2.18836603064415,13.622815165019786,0.9449069602231379,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"240,241,242,243,248,249,250,251,252,253,254,255,256"
1,5,341,383,"13,14,15",14,1,0.95,0,0,1,1,4,,,362,,,0.0,377,4.634389509033056,0.4686521501258625,0.023082766368940355,0.7992380867878955,valley,,,,,,,,,377,400,0,,,,,,,,,,,,,,,,"341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,376,377,378,379,380,381,382,383"
1,6,392,422,"16,18",18,1,0.8,0,0,1,1,5,,,404,,,0.0,415,2.605441304359607,10.475514609773462,-0.0910715649825935,0.7042847199629478,valley,663.0,491.0,22.0,30.0,604.0,502.0,19.0,26.0,415,437,0,,,,,,,,,,,,,,,,"392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422"
0,7,423,463,"18,17",18,1,0.15789473684210525,1,1,1,1,6,,,448,,,0.0,452,4.584159796204574,6.722490310438168,-0.026297332342842594,0.3561472016918348,valley,897.0,315.0,16.0,26.0,748.0,296.0,11.0,15.0,452,474,0,,,,,,,,,,,,,,,,"423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,456,457,458,459,460,461,462,463"
0,8,560,565,19,19,0,0.0,0,0,0,0,,,low_displacement;low_peak_z,,,,0.0,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"560,561,562,563,564,565"
0,9,600,607,20,20,0,0.0,0,0,0,0,,,low_displacement,,4.066711791607706,10.23390813818259,0.8638822628682074,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"600,601,602,603,604,605,606,607"
