frame,src_index,sink_index,selected,selected_by_formula2,cost_formula1,cost_formula2,epipolar_cost,reprojection_cost,temporal_cost,is_ambiguous,alternatives
7,0,0,1,0,342.818558,342.818558,272.637578,342.818558,0.000000,0,
8,0,0,1,0,2.933981,247.697090,12.153597,2.933981,489.526218,0,src:0->sink:1|f1:278.8899|f2:317.1703
8,0,1,0,0,278.889917,317.170345,233.505522,278.889917,76.560858,0,src:0->sink:0|f1:2.9340|f2:247.6971
9,0,0,0,0,209.453353,461.903563,183.052208,209.453353,504.900421,0,src:0->sink:1|f1:15.2723|f2:105.4933;src:0->sink:2|f1:3.9188|f2:77.9473
9,0,1,0,0,15.272313,105.493308,4.475518,15.272313,180.441991,0,src:0->sink:0|f1:209.4534|f2:461.9036;src:0->sink:2|f1:3.9188|f2:77.9473
9,0,2,1,0,3.918765,77.947306,14.236893,3.918765,148.057083,0,src:0->sink:0|f1:209.4534|f2:461.9036;src:0->sink:1|f1:15.2723|f2:105.4933
10,0,0,0,0,154.929716,412.624382,137.223783,154.929716,515.389331,0,src:0->sink:1|f1:109.4680|f2:462.9716;src:0->sink:2|f1:5.7414|f2:71.1762;src:0->sink:3|f1:11.7866|f2:90.1337
10,0,1,0,0,109.468030,462.971605,95.103760,109.468030,707.007151,0,src:0->sink:0|f1:154.9297|f2:412.6244;src:0->sink:2|f1:5.7414|f2:71.1762;src:0->sink:3|f1:11.7866|f2:90.1337
10,0,2,1,0,5.741382,71.176158,16.975450,5.741382,130.869551,0,src:0->sink:0|f1:154.9297|f2:412.6244;src:0->sink:1|f1:109.4680|f2:462.9716;src:0->sink:3|f1:11.7866|f2:90.1337
10,0,3,0,0,11.786630,90.133689,0.389143,11.786630,156.694118,0,src:0->sink:0|f1:154.9297|f2:412.6244;src:0->sink:1|f1:109.4680|f2:462.9716;src:0->sink:2|f1:5.7414|f2:71.1762
11,0,0,0,0,128.719496,386.224360,113.573786,128.719496,515.009730,0,src:0->sink:1|f1:1.0980|f2:34.0822
11,0,1,1,0,1.097956,34.082216,12.734660,1.097956,65.968519,0,src:0->sink:0|f1:128.7195|f2:386.2244
12,0,0,0,0,89.675392,358.133332,76.560725,89.675392,536.915880,0,src:0->sink:1|f1:5.2171|f2:54.0115
12,0,1,1,0,5.217058,54.011480,6.843680,5.217058,97.588845,0,src:0->sink:0|f1:89.6754|f2:358.1333
13,0,0,1,0,15.266934,37.849100,2.769743,15.266934,45.164332,0,src:0->sink:1|f1:56.3476|f2:327.9130
13,0,1,0,0,56.347571,327.913013,43.857723,56.347571,543.130885,0,src:0->sink:0|f1:15.2669|f2:37.8491
14,0,0,0,0,33.900592,317.911557,21.402402,33.900592,568.021930,0,src:0->sink:1|f1:13.9925|f2:39.6452
14,0,1,1,0,13.992534,39.645218,1.343421,13.992534,51.305367,0,src:0->sink:0|f1:33.9006|f2:317.9116
15,0,0,0,0,16.415824,307.527493,3.699108,16.415824,582.223338,0,src:0->sink:1|f1:10.9154|f2:27.1589
15,0,1,1,0,10.915402,27.158914,1.659448,10.915402,32.487024,0,src:0->sink:0|f1:16.4158|f2:307.5275
16,0,0,1,0,11.333810,31.237946,1.511033,11.333810,39.808272,1,src:0->sink:1|f1:15.5703|f2:312.8359;src:1->sink:0|f1:1146.1483|f2:1510.8042
16,0,1,0,0,15.570296,312.835857,2.771661,15.570296,594.531122,0,src:0->sink:0|f1:11.3338|f2:31.2379;src:1->sink:1|f1:1238.1290|f2:1880.1464
16,1,0,0,0,1146.148255,1510.804246,553.106059,1146.148255,729.311982,0,src:1->sink:1|f1:1238.1290|f2:1880.1464;src:0->sink:0|f1:11.3338|f2:31.2379
16,1,1,1,0,1238.128990,1880.146406,538.398977,1238.128990,1284.034832,0,src:1->sink:0|f1:1146.1483|f2:1510.8042;src:0->sink:1|f1:15.5703|f2:312.8359
17,0,0,1,0,13.636450,26.094428,0.225362,13.636450,24.915957,0,src:0->sink:1|f1:18.9370|f2:327.2764
17,0,1,0,0,18.937031,327.276443,6.150096,18.937031,616.678825,0,src:0->sink:0|f1:13.6364|f2:26.0944
18,0,0,1,0,15.174302,27.575831,1.377904,15.174302,24.803057,0,src:0->sink:1|f1:21.4542|f2:338.3641
18,0,1,0,0,21.454218,338.364060,8.691832,21.454218,633.819684,0,src:0->sink:0|f1:15.1743|f2:27.5758
19,0,0,1,0,12.494712,26.030135,0.964667,12.494712,27.070845,0,
20,0,0,1,0,11.021253,19.439842,2.570970,11.021253,16.837178,0,
21,0,0,1,0,12.679180,22.123290,1.373224,12.679180,18.888220,0,src:0->sink:1|f1:2258.8145|f2:2601.2628;src:1->sink:0|f1:15220.8940|f2:15553.1217
21,0,1,0,0,2258.814517,2601.262807,658.097931,2258.814517,684.896579,0,src:0->sink:0|f1:12.6792|f2:22.1233;src:1->sink:1|f1:9.1590|f2:674.3909
21,1,0,0,0,15220.894033,15553.121704,670.252247,15220.894033,664.455342,0,src:1->sink:1|f1:9.1590|f2:674.3909;src:0->sink:0|f1:12.6792|f2:22.1233
21,1,1,1,0,9.159011,674.390861,7.260262,9.159011,1330.463701,0,src:1->sink:0|f1:15220.8940|f2:15553.1217;src:0->sink:1|f1:2258.8145|f2:2601.2628
22,0,0,1,0,12.920011,21.177399,1.128080,12.920011,16.514776,0,src:0->sink:1|f1:2020.9570|f2:2353.5711
22,0,1,0,0,2020.956973,2353.571065,641.819068,2020.956973,665.228184,0,src:0->sink:0|f1:12.9200|f2:21.1774
23,0,0,1,0,10.349610,16.408767,3.662171,10.349610,12.118315,0,src:1->sink:0|f1:20139.8979|f2:20453.6255
23,1,0,0,0,20139.897930,20453.625479,630.488996,20139.897930,627.455097,0,src:0->sink:0|f1:10.3496|f2:16.4088
24,0,0,1,0,12.663084,18.046012,2.569340,12.663084,10.765856,0,
25,0,0,1,0,19.690160,25.217926,0.395013,19.690160,11.055532,0,
26,0,0,1,0,15.222578,22.961489,2.931714,15.222578,15.477821,0,
27,0,0,1,0,27.973591,34.561339,2.388165,27.973591,13.175495,0,
28,0,0,1,0,45.439317,55.399671,0.125037,45.439317,19.920709,0,
29,0,0,1,0,40.150394,52.309355,0.366480,40.150394,24.317922,0,
30,0,0,1,0,252.225903,262.931147,4.537679,252.225903,21.410489,0,
31,0,0,1,0,59.484011,66.985944,2.670033,59.484011,15.003865,0,
38,0,0,1,0,136.763705,136.763705,113.414825,136.763705,0.000000,0,
39,0,0,1,0,122.031905,125.841867,105.865234,122.031905,7.619923,0,src:0->sink:1|f1:192.8427|f2:207.1411
39,0,1,0,0,192.842674,207.141125,141.212130,192.842674,28.596902,0,src:0->sink:0|f1:122.0319|f2:125.8419
40,0,0,1,0,0.308036,467.099148,14.288910,0.308036,933.582224,0,src:0->sink:1|f1:55.3907|f2:157.9690
40,0,1,0,0,55.390693,157.969018,1.410509,55.390693,205.156651,0,src:0->sink:0|f1:0.3080|f2:467.0991
41,0,0,1,0,0.657537,3.504926,14.644365,0.657537,5.694777,0,src:0->sink:1|f1:14.4168|f2:405.0569
41,0,1,0,0,14.416797,405.056893,2.228412,14.416797,781.280192,0,src:0->sink:0|f1:0.6575|f2:3.5049
42,0,0,0,0,30.765950,420.936905,2.274932,30.765950,780.341910,0,src:0->sink:1|f1:3.4460|f2:5.8242
42,0,1,1,0,3.445968,5.824215,10.336611,3.445968,4.756495,0,src:0->sink:0|f1:30.7660|f2:420.9369
43,0,0,0,0,20.897177,410.015826,1.289503,20.897177,778.237297,0,src:0->sink:1|f1:6.2212|f2:8.2311
43,0,1,1,0,6.221247,8.231079,7.412058,6.221247,4.019663,0,src:0->sink:0|f1:20.8972|f2:410.0158
44,0,0,0,0,23.034236,412.305267,1.861826,23.034236,778.542061,0,src:0->sink:1|f1:10.1519|f2:12.0511
44,0,1,1,0,10.151856,12.051144,3.283997,10.151856,3.798576,0,src:0->sink:0|f1:23.0342|f2:412.3053
45,0,0,1,0,10.155822,14.509090,3.215385,10.155822,8.706537,1,src:0->sink:1|f1:14.3875|f2:403.2111
45,0,1,0,0,14.387487,403.211073,0.986384,14.387487,777.647173,0,src:0->sink:0|f1:10.1558|f2:14.5091
46,0,0,1,1,13.611446,19.509818,0.461297,13.611446,11.796744,1,src:0->sink:1|f1:13.4137|f2:401.9848
46,0,1,0,0,13.413682,401.984776,1.358259,13.413682,777.142187,0,src:0->sink:0|f1:13.6114|f2:19.5098
47,0,0,1,1,15.585250,24.118701,2.617197,15.585250,17.066903,1,src:0->sink:1|f1:15.4401|f2:401.7315
47,0,1,0,0,15.440102,401.731473,0.275210,15.440102,772.582742,0,src:0->sink:0|f1:15.5852|f2:24.1187
48,0,0,0,0,13.726441,395.388242,0.251013,13.726441,763.323601,0,src:0->sink:1|f1:813.5563|f2:1205.2074;src:0->sink:2|f1:5.1516|f2:18.5829;src:0->sink:3|f1:10.8133|f2:35.7723
48,0,1,0,0,813.556265,1205.207406,99.270544,813.556265,783.302281,0,src:0->sink:0|f1:13.7264|f2:395.3882;src:0->sink:2|f1:5.1516|f2:18.5829;src:0->sink:3|f1:10.8133|f2:35.7723
48,0,2,1,0,5.151585,18.582949,8.057751,5.151585,26.862729,0,src:0->sink:0|f1:13.7264|f2:395.3882;src:0->sink:1|f1:813.5563|f2:1205.2074;src:0->sink:3|f1:10.8133|f2:35.7723
48,0,3,0,0,10.813287,35.772291,24.547028,10.813287,49.918007,0,src:0->sink:0|f1:13.7264|f2:395.3882;src:0->sink:1|f1:813.5563|f2:1205.2074;src:0->sink:2|f1:5.1516|f2:18.5829
49,0,0,1,0,0.051258,12.757175,13.199231,0.051258,25.411834,0,src:0->sink:1|f1:15.1778|f2:392.0018;src:0->sink:2|f1:817.7225|f2:1206.6356
