Frame,X,Y,Visibility,BBox_X,BBox_Y,BBox_W,BBox_H
0,[0],[0],0,[0],[0],[0],[0]
1,[0],[0],0,[0],[0],[0],[0]
2,[0],[0],0,[0],[0],[0],[0]
3,[0],[0],0,[0],[0],[0],[0]
4,[0],[0],0,[0],[0],[0],[0]
5,[0],[0],0,[0],[0],[0],[0]
6,[0],[0],0,[0],[0],[0],[0]
7,[1181],[86],1,[1181],[82],[2],[7]
8,[860, 1181],[390, 75],1,[849, 1172],[378, 63],[22, 19],[22, 22]
9,[1181, 762, 793],[75, 333, 348],1,[1172, 753, 790],[63, 326, 345],[19, 19, 8],[22, 18, 11]
10,[1181, 1395, 728, 705],[75, 93, 311, 296],1,[1172, 1386, 722, 703],[63, 82, 307, 288],[19, 16, 11, 8],[22, 22, 11, 15]
11,[1178, 697],[78, 288],1,[1170, 691],[67, 281],[19, 14],[22, 18]
12,[1178, 641],[86, 258],1,[1170, 632],[75, 247],[16, 16],[26, 22]
13,[613, 1175],[243, 112],1,[599, 1167],[232, 97],[30, 19],[26, 30]
14,[1172, 585],[120, 232],1,[1161, 576],[108, 221],[22, 19],[26, 26]
15,[1170, 570],[127, 225],1,[1158, 562],[116, 213],[25, 19],[22, 26]
16,[542, 1172],[221, 120],1,[534, 1164],[210, 108],[16, 16],[26, 22]
17,[525, 1172],[217, 112],1,[514, 1164],[206, 105],[22, 16],[22, 15]
18,[511, 1170],[213, 105],1,[503, 1170],[202, 105],[16, 2],[22, 3]
19,[495],[213],1,[486],[202],[19],[22]
20,[483],[213],1,[475],[202],[16],[22]
21,[472, 767],[213, 873],1,[464, 762],[202, 866],[16, 11],[22, 15]
22,[464, 770],[217, 858],1,[455, 765],[206, 851],[16, 11],[22, 18]
23,[455],[221],1,[447],[210],[19],[22]
24,[450],[225],1,[441],[213],[19],[26]
25,[444],[228],1,[435],[217],[19],[26]
26,[438],[236],1,[427],[221],[22],[30]
27,[430],[232],1,[419],[221],[25],[22]
28,[424],[221],1,[416],[210],[19],[26]
29,[416],[210],1,[407],[198],[16],[22]
30,[407],[198],1,[399],[187],[19],[26]
31,[405],[191],1,[393],[180],[22],[26]
32,[0],[0],0,[0],[0],[0],[0]
33,[0],[0],0,[0],[0],[0],[0]
34,[0],[0],0,[0],[0],[0],[0]
35,[0],[0],0,[0],[0],[0],[0]
36,[0],[0],0,[0],[0],[0],[0]
37,[0],[0],0,[0],[0],[0],[0]
38,[388],[131],1,[382],[127],[11],[7]
39,[388, 385],[123, 161],1,[379, 379],[116, 157],[19, 11],[18, 11]
40,[1195, 385],[63, 168],1,[1184, 376],[52, 157],[22, 19],[22, 22]
41,[1195, 388],[63, 168],1,[1184, 376],[52, 157],[22, 22],[22, 22]
42,[388, 1195],[168, 63],1,[379, 1186],[157, 52],[19, 19],[26, 22]
43,[390, 1195],[172, 63],1,[382, 1186],[161, 52],[19, 19],[26, 22]
44,[390, 1195],[176, 63],1,[382, 1186],[165, 56],[19, 19],[26, 18]
