Frame,X,Y,Visibility,BBox_X,BBox_Y,BBox_W,BBox_H
0,[1172],[813],1,[1155],[802],[36],[22]
1,[0],[0],0,[0],[0],[0],[0]
2,[0],[0],0,[0],[0],[0],[0]
3,[0],[0],0,[0],[0],[0],[0]
4,[0],[0],0,[0],[0],[0],[0]
5,[1144],[772],1,[1136],[765],[16],[18]
6,[1004, 1049],[558, 615],1,[995, 1040],[547, 607],[16, 16],[22, 18]
7,[947],[480],1,[930],[461],[36],[41]
8,[908],[423],1,[900],[412],[19],[26]
9,[855],[367],1,[846],[356],[19],[26]
10,[815],[318],1,[804],[303],[22],[30]
11,[793],[296],1,[784],[285],[19],[26]
12,[767],[266],1,[759],[255],[16],[22]
13,[753],[258],1,[742],[247],[22],[22]
14,[734],[243],1,[725],[232],[19],[26]
15,[720],[232],1,[711],[221],[19],[26]
16,[708, 1119],[225, 851],1,[700, 1113],[213, 840],[16, 14],[26, 26]
17,[700],[221],1,[691],[210],[16],[22]
18,[689],[217],1,[677],[206],[22],[22]
19,[677],[213],1,[669],[202],[19],[22]
20,[672],[210],1,[663],[198],[19],[26]
21,[663, 644],[210, 892],1,[655, 638],[198, 885],[19, 11],[22, 15]
22,[655],[213],1,[646],[202],[19],[22]
23,[652, 672],[213, 858],1,[644, 663],[202, 847],[19, 19],[26, 22]
24,[649],[217],1,[641],[206],[19],[26]
25,[646],[221],1,[635],[210],[22],[26]
26,[641],[225],1,[632],[213],[19],[26]
27,[638],[221],1,[627],[210],[25],[26]
28,[635],[213],1,[624],[202],[22],[22]
29,[630],[202],1,[621],[191],[19],[26]
30,[627],[195],1,[618],[187],[16],[18]
31,[624],[187],1,[615],[176],[16],[22]
32,[621],[180],1,[615],[172],[11],[18]
33,[0],[0],0,[0],[0],[0],[0]
34,[708],[18],1,[705],[15],[8],[7]
35,[708],[18],1,[705],[15],[8],[7]
36,[708],[18],1,[703],[11],[14],[18]
37,[708],[18],1,[703],[11],[14],[15]
38,[708],[18],1,[703],[11],[14],[15]
39,[708],[18],1,[703],[15],[11],[11]
40,[613],[161],1,[604],[150],[16],[26]
41,[607],[161],1,[599],[150],[19],[26]
42,[610],[165],1,[599],[153],[22],[26]
43,[607],[168],1,[599],[157],[19],[26]
44,[607],[172],1,[599],[161],[19],[26]
45,[604],[176],1,[596],[165],[19],[26]
46,[604],[183],1,[596],[172],[19],[22]
47,[604],[191],1,[596],[180],[19],[26]
48,[601],[198],1,[593],[187],[16],[22]
49,[599],[206],1,[590],[195],[19],[26]
50,[596],[217],1,[587],[206],[19],[22]
51,[596],[228],1,[587],[217],[19],[26]
52,[596],[243],1,[587],[232],[16],[22]
53,[593],[258],1,[585],[247],[19],[22]
54,[593],[266],1,[585],[255],[19],[26]
55,[596],[273],1,[585],[258],[22],[30]
56,[0],[0],0,[0],[0],[0],[0]
57,[0],[0],0,[0],[0],[0],[0]
58,[604],[292],1,[599],[285],[14],[15]
59,[607],[300],1,[601],[292],[14],[18]
60,[610],[303],1,[601],[292],[16],[22]
61,[610],[307],1,[601],[296],[19],[22]
62,[613],[307],1,[604],[296],[16],[22]
63,[613],[303],1,[604],[292],[16],[26]
64,[613],[292],1,[607],[285],[14],[18]
65,[613],[288],1,[607],[281],[14],[18]
66,[615],[285],1,[610],[281],[11],[11]
67,[615],[281],1,[610],[277],[11],[11]
68,[615],[277],1,[610],[270],[14],[15]
69,[615],[273],1,[607],[266],[16],[18]
70,[615],[273],1,[607],[262],[16],[22]
71,[615],[273],1,[607],[262],[16],[22]
72,[615],[273],1,[607],[262],[16],[22]
73,[615],[273],1,[607],[262],[16],[22]
74,[615],[273],1,[607],[262],[19],[26]
75,[618],[277],1,[610],[270],[16],[18]
76,[618],[285],1,[610],[273],[16],[22]
77,[618],[288],1,[610],[277],[19],[26]
78,[621],[296],1,[613],[281],[16],[30]
79,[621],[296],1,[613],[285],[16],[26]
80,[621],[288],1,[613],[277],[16],[26]
81,[621],[288],1,[613],[277],[16],[22]
82,[621],[285],1,[613],[273],[16],[22]
83,[621],[281],1,[613],[270],[16],[22]
84,[621],[277],1,[613],[266],[19],[22]
85,[621],[277],1,[613],[266],[19],[22]
86,[624],[277],1,[615],[266],[16],[22]
87,[624],[277],1,[615],[266],[16],[22]
88,[0],[0],0,[0],[0],[0],[0]
89,[0],[0],0,[0],[0],[0],[0]
90,[0],[0],0,[0],[0],[0],[0]
91,[0],[0],0,[0],[0],[0],[0]
92,[0],[0],0,[0],[0],[0],[0]
93,[0],[0],0,[0],[0],[0],[0]
94,[0],[0],0,[0],[0],[0],[0]
95,[0],[0],0,[0],[0],[0],[0]
96,[0],[0],0,[0],[0],[0],[0]
97,[0],[0],0,[0],[0],[0],[0]
98,[0],[0],0,[0],[0],[0],[0]
99,[0],[0],0,[0],[0],[0],[0]
100,[0],[0],0,[0],[0],[0],[0]
101,[0],[0],0,[0],[0],[0],[0]
102,[0],[0],0,[0],[0],[0],[0]
103,[0],[0],0,[0],[0],[0],[0]
104,[0],[0],0,[0],[0],[0],[0]
105,[0],[0],0,[0],[0],[0],[0]
106,[0],[0],0,[0],[0],[0],[0]
107,[0],[0],0,[0],[0],[0],[0]
108,[0],[0],0,[0],[0],[0],[0]
109,[0],[0],0,[0],[0],[0],[0]
110,[0],[0],0,[0],[0],[0],[0]
111,[0],[0],0,[0],[0],[0],[0]
112,[0],[0],0,[0],[0],[0],[0]
113,[0],[0],0,[0],[0],[0],[0]
114,[0],[0],0,[0],[0],[0],[0]
115,[0],[0],0,[0],[0],[0],[0]
116,[0],[0],0,[0],[0],[0],[0]
117,[0],[0],0,[0],[0],[0],[0]
118,[0],[0],0,[0],[0],[0],[0]
119,[0],[0],0,[0],[0],[0],[0]
120,[0],[0],0,[0],[0],[0],[0]
121,[0],[0],0,[0],[0],[0],[0]
122,[0],[0],0,[0],[0],[0],[0]
123,[0],[0],0,[0],[0],[0],[0]
124,[0],[0],0,[0],[0],[0],[0]
125,[0],[0],0,[0],[0],[0],[0]
126,[0],[0],0,[0],[0],[0],[0]
127,[0],[0],0,[0],[0],[0],[0]
128,[0],[0],0,[0],[0],[0],[0]
129,[0],[0],0,[0],[0],[0],[0]
130,[0],[0],0,[0],[0],[0],[0]
131,[0],[0],0,[0],[0],[0],[0]
132,[0],[0],0,[0],[0],[0],[0]
133,[0],[0],0,[0],[0],[0],[0]
134,[0],[0],0,[0],[0],[0],[0]
135,[0],[0],0,[0],[0],[0],[0]
136,[638],[183],1,[630],[176],[19],[18]
137,[638],[180],1,[630],[172],[16],[18]
138,[638],[176],1,[630],[165],[16],[22]
139,[638],[176],1,[630],[165],[16],[22]
140,[635],[172],1,[627],[161],[19],[26]
141,[635],[176],1,[627],[165],[19],[26]
142,[635],[180],1,[627],[168],[19],[26]
143,[632],[183],1,[624],[172],[19],[26]
144,[638],[191],1,[627],[180],[22],[26]
145,[635],[198],1,[627],[187],[16],[22]
146,[632],[206],1,[624],[195],[19],[26]
147,[632],[217],1,[624],[206],[19],[22]
148,[632],[228],1,[624],[217],[16],[22]
149,[632],[240],1,[624],[228],[16],[22]
150,[630],[258],1,[621],[247],[19],[22]
151,[630],[273],1,[621],[258],[19],[30]
152,[627],[296],1,[615],[285],[25],[26]
153,[624],[311],1,[613],[296],[25],[30]
154,[630],[333],1,[618],[322],[22],[26]
155,[630],[356],1,[621],[345],[19],[26]
156,[627],[382],1,[618],[371],[19],[22]
157,[627],[408],1,[618],[397],[19],[26]
158,[627],[435],1,[618],[423],[19],[26]
159,[630],[468],1,[618],[457],[22],[22]
160,[630],[491],1,[618],[476],[22],[30]
161,[627],[487],1,[618],[472],[19],[30]
162,[630],[483],1,[621],[472],[16],[22]
163,[627],[480],1,[618],[468],[19],[26]
164,[627],[476],1,[618],[465],[19],[26]
165,[624],[476],1,[615],[465],[19],[22]
166,[621],[476],1,[613],[465],[19],[22]
167,[621],[476],1,[613],[465],[19],[26]
168,[621],[480],1,[613],[468],[19],[26]
169,[621],[487],1,[613],[476],[19],[26]
170,[621],[495],1,[613],[483],[16],[26]
171,[618],[502],1,[610],[491],[19],[26]
172,[618],[513],1,[610],[502],[19],[26]
173,[621],[525],1,[613],[513],[19],[26]
174,[624],[547],1,[615],[532],[16],[30]
175,[621],[566],1,[613],[555],[19],[26]
176,[621],[581],1,[613],[570],[19],[26]
177,[621],[603],1,[613],[592],[19],[26]
178,[618],[630],1,[610],[622],[19],[18]
179,[621],[656],1,[613],[645],[16],[22]
180,[621],[682],1,[613],[671],[19],[26]
181,[621],[716],1,[613],[705],[19],[22]
182,[624],[746],1,[615],[735],[19],[26]
183,[627],[783],1,[618],[772],[16],[26]
184,[621],[802],1,[613],[791],[19],[22]
185,[621],[810],1,[615],[802],[11],[15]
186,[0],[0],0,[0],[0],[0],[0]
187,[0],[0],0,[0],[0],[0],[0]
188,[1389],[195],1,[1383],[183],[11],[22]
189,[585],[825],1,[579],[821],[11],[11]
190,[573],[817],1,[565],[813],[16],[11]
191,[1347],[228],1,[1341],[225],[11],[11]
192,[1338, 551],[225, 768],1,[1327, 540],[213, 757],[25, 25],[22, 22]
193,[1330, 540],[228, 757],1,[1313, 531],[217, 742],[33, 19],[26, 30]
194,[1321, 528],[221, 738],1,[1313, 520],[213, 735],[19, 16],[18, 11]
195,[517],[731],1,[509],[720],[19],[22]
196,[509],[727],1,[503],[723],[14],[11]
197,[0],[0],0,[0],[0],[0],[0]
198,[0],[0],0,[0],[0],[0],[0]
199,[0],[0],0,[0],[0],[0],[0]
200,[0],[0],0,[0],[0],[0],[0]
201,[0],[0],0,[0],[0],[0],[0]
202,[0],[0],0,[0],[0],[0],[0]
203,[0],[0],0,[0],[0],[0],[0]
204,[0],[0],0,[0],[0],[0],[0]
205,[0],[0],0,[0],[0],[0],[0]
206,[0],[0],0,[0],[0],[0],[0]
207,[0],[0],0,[0],[0],[0],[0]
208,[0],[0],0,[0],[0],[0],[0]
209,[0],[0],0,[0],[0],[0],[0]
210,[0],[0],0,[0],[0],[0],[0]
211,[0],[0],0,[0],[0],[0],[0]
212,[0],[0],0,[0],[0],[0],[0]
213,[0],[0],0,[0],[0],[0],[0]
214,[1215, 1215],[26, 15],1,[1212, 1212],[22, 15],[8, 8],[7, 3]
215,[1215],[22],1,[1209],[15],[14],[15]
216,[1215],[18],1,[1209],[11],[14],[18]
217,[0],[0],0,[0],[0],[0],[0]
218,[0],[0],0,[0],[0],[0],[0]
219,[0],[0],0,[0],[0],[0],[0]
220,[0],[0],0,[0],[0],[0],[0]
221,[0],[0],0,[0],[0],[0],[0]
222,[0],[0],0,[0],[0],[0],[0]
223,[1215],[18],1,[1209],[11],[11],[18]
224,[0],[0],0,[0],[0],[0],[0]
225,[0],[0],0,[0],[0],[0],[0]
226,[0],[0],0,[0],[0],[0],[0]
227,[0],[0],0,[0],[0],[0],[0]
228,[0],[0],0,[0],[0],[0],[0]
229,[0],[0],0,[0],[0],[0],[0]
230,[0],[0],0,[0],[0],[0],[0]
231,[0],[0],0,[0],[0],[0],[0]
232,[0],[0],0,[0],[0],[0],[0]
233,[0],[0],0,[0],[0],[0],[0]
234,[0],[0],0,[0],[0],[0],[0]
235,[0],[0],0,[0],[0],[0],[0]
236,[0],[0],0,[0],[0],[0],[0]
237,[0],[0],0,[0],[0],[0],[0]
238,[0],[0],0,[0],[0],[0],[0]
239,[0],[0],0,[0],[0],[0],[0]
240,[360],[746],1,[354],[738],[14],[18]
241,[362],[738],1,[354],[731],[16],[18]
242,[362],[731],1,[354],[720],[16],[26]
243,[365],[727],1,[357],[712],[19],[30]
244,[371],[723],1,[362],[712],[16],[22]
245,[374],[720],1,[368],[712],[11],[15]
246,[376],[708],1,[374],[705],[5],[11]
247,[376],[708],1,[374],[701],[8],[15]
248,[385],[708],1,[376],[697],[19],[26]
249,[393],[716],1,[385],[701],[19],[30]
250,[407],[731],1,[399],[716],[16],[30]
251,[413],[757],1,[405],[746],[19],[22]
252,[424],[787],1,[416],[776],[16],[26]
253,[430],[813],1,[421],[802],[19],[26]
254,[444],[851],1,[435],[840],[16],[26]
255,[447],[873],1,[438],[862],[19],[26]
256,[444],[866],1,[433],[855],[22],[26]
257,[435],[851],1,[427],[836],[19],[30]
