row_index,camera,bounce_frame,clip_name,clip_path,status,decode_s,crop_s,write_s,total_s,updated_at
0,source,151,bounce_151_00000.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_151_00000.mp4,ok,4.338405,0.000087,1.434174,5.772700,2026-05-28 21:53:33
0,sink,151,bounce_151_00000.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_151_00000.mp4,ok,1.544353,0.000089,0.492014,2.036492,2026-05-28 21:53:36
0,hq,151,bounce_151_00000.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_151_00000.mp4,ok,3.613711,0.000083,0.450484,4.064304,2026-05-28 21:53:40
1,source,194,bounce_194_00001.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_194_00001.mp4,ok,0.356275,0.000089,0.510387,0.866781,2026-05-28 21:53:40
1,sink,194,bounce_194_00001.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_194_00001.mp4,ok,0.506052,0.000090,0.410248,0.916418,2026-05-28 21:53:41
3,source,264,bounce_264_00003.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_264_00003.mp4,ok,0.559768,0.000078,0.484754,1.044629,2026-05-28 21:53:42
3,sink,264,bounce_264_00003.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_264_00003.mp4,ok,0.524278,0.000115,0.438360,0.962781,2026-05-28 21:53:43
3,hq,264,bounce_264_00003.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_264_00003.mp4,ok,1.230142,0.000085,0.485018,1.715274,2026-05-28 21:53:45
6,source,339,bounce_339_00006.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_339_00006.mp4,ok,1.153903,0.000093,0.586163,1.740189,2026-05-28 21:53:47
6,sink,339,bounce_339_00006.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_339_00006.mp4,ok,1.301765,0.000094,0.406044,1.707931,2026-05-28 21:53:49
7,source,528,bounce_528_00007.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_528_00007.mp4,ok,4.356645,0.000082,0.360833,4.717591,2026-05-28 21:53:53
7,sink,528,bounce_528_00007.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_528_00007.mp4,ok,2.512086,0.000087,0.395537,2.907739,2026-05-28 21:53:56
8,source,687,bounce_687_00008.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_687_00008.mp4,ok,0.684779,0.000090,0.432624,1.117524,2026-05-28 21:53:57
8,sink,687,bounce_687_00008.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_687_00008.mp4,ok,1.057990,0.000085,0.522696,1.580799,2026-05-28 21:53:59
8,hq,687,bounce_687_00008.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_687_00008.mp4,ok,1.686370,0.000089,0.506431,2.192919,2026-05-28 21:54:01
9,source,730,bounce_730_00009.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_730_00009.mp4,ok,0.665319,0.000263,1.309055,1.974665,2026-05-28 21:54:03
9,sink,730,bounce_730_00009.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_730_00009.mp4,ok,0.243546,0.000081,0.393361,0.637016,2026-05-28 21:54:04
9,hq,730,bounce_730_00009.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_730_00009.mp4,ok,0.522660,0.000075,0.479442,1.002203,2026-05-28 21:54:05
10,source,764,bounce_764_00010.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_764_00010.mp4,failed,0.288038,0.000000,0.000000,0.288170,2026-05-28 21:54:05
10,sink,764,bounce_764_00010.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_764_00010.mp4,failed,0.287548,0.000000,0.000000,0.287662,2026-05-28 21:54:05
11,source,1043,bounce_1043_00011.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1043_00011.mp4,ok,0.811288,0.000091,0.412223,1.223631,2026-05-28 21:54:07
11,sink,1043,bounce_1043_00011.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1043_00011.mp4,ok,0.623936,0.000088,0.368237,0.992289,2026-05-28 21:54:08
12,source,1211,bounce_1211_00012.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1211_00012.mp4,ok,0.447950,0.000088,0.346780,0.794846,2026-05-28 21:54:08
12,sink,1211,bounce_1211_00012.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1211_00012.mp4,ok,0.699922,0.000095,0.868325,1.568373,2026-05-28 21:54:10
12,hq,1211,bounce_1211_00012.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1211_00012.mp4,ok,3.524865,0.000088,0.569119,4.094102,2026-05-28 21:54:14
13,source,1263,bounce_1263_00013.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1263_00013.mp4,ok,0.484009,0.000086,0.347513,0.831638,2026-05-28 21:54:15
13,sink,1263,bounce_1263_00013.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1263_00013.mp4,ok,0.777501,0.000089,0.456116,1.233736,2026-05-28 21:54:16
13,hq,1263,bounce_1263_00013.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1263_00013.mp4,ok,1.562060,0.000083,0.567997,2.130167,2026-05-28 21:54:18
15,source,1321,bounce_1321_00015.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1321_00015.mp4,ok,0.366018,0.000118,0.396875,0.763054,2026-05-28 21:54:19
15,sink,1321,bounce_1321_00015.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1321_00015.mp4,ok,0.491306,0.000084,0.342028,0.833447,2026-05-28 21:54:20
15,hq,1321,bounce_1321_00015.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1321_00015.mp4,ok,0.515959,0.000085,0.570326,1.086400,2026-05-28 21:54:21
18,source,1482,bounce_1482_00018.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1482_00018.mp4,ok,1.629611,0.000093,0.365456,1.995191,2026-05-28 21:54:23
18,sink,1482,bounce_1482_00018.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1482_00018.mp4,ok,2.333633,0.000093,0.403069,2.736823,2026-05-28 21:54:26
18,hq,1482,bounce_1482_00018.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1482_00018.mp4,ok,0.566026,0.000087,0.368210,0.934354,2026-05-28 21:54:27
20,source,1687,bounce_1687_00020.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1687_00020.mp4,ok,0.292613,0.000089,0.482863,0.775594,2026-05-28 21:54:27
20,sink,1687,bounce_1687_00020.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1687_00020.mp4,ok,0.675334,0.000118,0.483149,1.158635,2026-05-28 21:54:29
20,hq,1687,bounce_1687_00020.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1687_00020.mp4,ok,2.520801,0.000089,0.758813,3.279808,2026-05-28 21:54:32
21,source,1726,bounce_1726_00021.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1726_00021.mp4,failed,0.451604,0.000000,0.000000,0.451713,2026-05-28 21:54:32
21,sink,1726,bounce_1726_00021.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1726_00021.mp4,failed,0.387239,0.000000,0.000000,0.387359,2026-05-28 21:54:33
23,source,1793,bounce_1793_00023.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1793_00023.mp4,ok,1.354303,0.000082,1.603965,2.958380,2026-05-28 21:54:36
23,sink,1793,bounce_1793_00023.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1793_00023.mp4,ok,2.671181,0.000084,0.427197,3.098492,2026-05-28 21:54:39
23,hq,1793,bounce_1793_00023.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1793_00023.mp4,ok,0.711388,0.000089,0.586175,1.297684,2026-05-28 21:54:40
24,source,1838,bounce_1838_00024.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1838_00024.mp4,ok,0.479844,0.000089,0.822728,1.302691,2026-05-28 21:54:41
24,sink,1838,bounce_1838_00024.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1838_00024.mp4,ok,0.453458,0.000081,0.393214,0.846780,2026-05-28 21:54:42
24,hq,1838,bounce_1838_00024.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1838_00024.mp4,ok,3.297240,0.000086,0.616481,3.913836,2026-05-28 21:54:46
25,source,1855,bounce_1855_00025.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_1855_00025.mp4,ok,0.580913,0.000084,0.439164,1.020191,2026-05-28 21:54:47
25,sink,1855,bounce_1855_00025.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_1855_00025.mp4,ok,0.511636,0.000086,0.382145,0.893899,2026-05-28 21:54:48
25,hq,1855,bounce_1855_00025.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_1855_00025.mp4,ok,0.191055,0.000091,0.548457,0.739635,2026-05-28 21:54:49
30,source,2101,bounce_2101_00030.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2101_00030.mp4,ok,4.343671,0.000093,0.540865,4.884658,2026-05-28 21:54:54
30,sink,2101,bounce_2101_00030.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2101_00030.mp4,ok,2.576025,0.000077,0.360680,2.936809,2026-05-28 21:54:57
30,hq,2101,bounce_2101_00030.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2101_00030.mp4,ok,0.659620,0.000086,0.588417,1.248156,2026-05-28 21:54:58
31,source,2140,bounce_2140_00031.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2140_00031.mp4,ok,0.251343,0.000083,0.488149,0.739606,2026-05-28 21:54:59
31,sink,2140,bounce_2140_00031.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2140_00031.mp4,ok,0.373827,0.000096,0.898516,1.272469,2026-05-28 21:55:00
31,hq,2140,bounce_2140_00031.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2140_00031.mp4,ok,0.368586,0.000078,0.445957,0.814647,2026-05-28 21:55:01
33,source,2192,bounce_2192_00033.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2192_00033.mp4,ok,0.415124,0.000086,0.699854,1.115094,2026-05-28 21:55:02
33,sink,2192,bounce_2192_00033.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2192_00033.mp4,ok,0.384395,0.000099,0.408106,0.792628,2026-05-28 21:55:03
33,hq,2192,bounce_2192_00033.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2192_00033.mp4,ok,0.509035,0.000085,0.499079,1.008225,2026-05-28 21:55:04
35,source,2247,bounce_2247_00035.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2247_00035.mp4,ok,1.747995,0.000083,0.491085,2.239191,2026-05-28 21:55:06
35,sink,2247,bounce_2247_00035.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2247_00035.mp4,ok,0.971990,0.000089,0.375587,1.347695,2026-05-28 21:55:07
35,hq,2247,bounce_2247_00035.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2247_00035.mp4,ok,2.071561,0.000097,0.603790,2.675480,2026-05-28 21:55:10
36,source,2478,bounce_2478_00036.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2478_00036.mp4,ok,0.533559,0.000082,0.458296,0.991967,2026-05-28 21:55:11
36,sink,2478,bounce_2478_00036.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2478_00036.mp4,ok,0.480194,0.000098,0.451305,0.931630,2026-05-28 21:55:12
36,hq,2478,bounce_2478_00036.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2478_00036.mp4,ok,1.824176,0.000089,0.687169,2.511465,2026-05-28 21:55:14
39,source,2564,bounce_2564_00039.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2564_00039.mp4,ok,0.785829,0.000088,0.448351,1.234299,2026-05-28 21:55:16
39,sink,2564,bounce_2564_00039.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2564_00039.mp4,ok,0.776437,0.000090,0.476491,1.253048,2026-05-28 21:55:17
39,hq,2564,bounce_2564_00039.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2564_00039.mp4,ok,1.878031,0.000144,0.439912,2.318114,2026-05-28 21:55:19
41,source,2595,bounce_2595_00041.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2595_00041.mp4,ok,0.285723,0.000080,0.354076,0.639906,2026-05-28 21:55:20
41,sink,2595,bounce_2595_00041.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2595_00041.mp4,ok,0.429274,0.000087,0.736147,1.165535,2026-05-28 21:55:21
41,hq,2595,bounce_2595_00041.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2595_00041.mp4,ok,0.391534,0.000085,0.563455,0.955104,2026-05-28 21:55:22
43,source,2684,bounce_2684_00043.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2684_00043.mp4,failed,0.637755,0.000000,0.000000,0.637902,2026-05-28 21:55:23
43,sink,2684,bounce_2684_00043.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2684_00043.mp4,failed,0.470393,0.000000,0.000000,0.470501,2026-05-28 21:55:23
45,source,2727,bounce_2727_00045.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2727_00045.mp4,ok,0.889763,0.000091,0.550304,1.440187,2026-05-28 21:55:25
45,sink,2727,bounce_2727_00045.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2727_00045.mp4,ok,1.106950,0.000093,0.693540,1.800616,2026-05-28 21:55:26
45,hq,2727,bounce_2727_00045.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2727_00045.mp4,ok,2.170201,0.000125,0.588700,2.759055,2026-05-28 21:55:29
47,source,2846,bounce_2846_00047.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2846_00047.mp4,ok,0.666486,0.000091,0.397520,1.064128,2026-05-28 21:55:30
47,sink,2846,bounce_2846_00047.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2846_00047.mp4,ok,3.098850,0.000100,0.360811,3.459788,2026-05-28 21:55:34
47,hq,2846,bounce_2846_00047.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2846_00047.mp4,ok,3.738119,0.000084,0.447209,4.185442,2026-05-28 21:55:38
48,source,2888,bounce_2888_00048.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_2888_00048.mp4,ok,0.441548,0.000091,0.589023,1.030695,2026-05-28 21:55:39
48,sink,2888,bounce_2888_00048.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_2888_00048.mp4,ok,0.297624,0.000094,0.498155,0.795902,2026-05-28 21:55:40
48,hq,2888,bounce_2888_00048.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_2888_00048.mp4,ok,0.565025,0.000101,0.488793,1.053949,2026-05-28 21:55:41
56,source,3320,bounce_3320_00056.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3320_00056.mp4,ok,0.341611,0.000086,0.317885,0.659948,2026-05-28 21:55:42
56,sink,3320,bounce_3320_00056.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3320_00056.mp4,ok,0.331220,0.000081,0.381276,0.712607,2026-05-28 21:55:42
56,hq,3320,bounce_3320_00056.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_3320_00056.mp4,ok,2.711312,0.000094,0.444424,3.155860,2026-05-28 21:55:45
57,source,3353,bounce_3353_00057.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3353_00057.mp4,failed,0.198693,0.000000,0.000000,0.198798,2026-05-28 21:55:46
57,sink,3353,bounce_3353_00057.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3353_00057.mp4,failed,0.270001,0.000000,0.000000,0.270092,2026-05-28 21:55:46
58,source,3535,bounce_3535_00058.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3535_00058.mp4,ok,1.942345,0.000092,0.509791,2.452258,2026-05-28 21:55:48
58,sink,3535,bounce_3535_00058.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3535_00058.mp4,ok,1.523824,0.000326,0.506579,2.030757,2026-05-28 21:55:50
59,source,3702,bounce_3702_00059.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3702_00059.mp4,ok,1.858552,0.000089,0.360733,2.219406,2026-05-28 21:55:53
59,sink,3702,bounce_3702_00059.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3702_00059.mp4,ok,1.466592,0.000089,0.468772,1.935483,2026-05-28 21:55:55
59,hq,3702,bounce_3702_00059.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_3702_00059.mp4,ok,2.605216,0.000092,0.413431,3.018767,2026-05-28 21:55:58
61,source,3756,bounce_3756_00061.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3756_00061.mp4,ok,0.305769,0.000093,0.560812,0.866702,2026-05-28 21:55:58
61,sink,3756,bounce_3756_00061.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3756_00061.mp4,ok,0.425684,0.000093,0.495850,0.921659,2026-05-28 21:55:59
61,hq,3756,bounce_3756_00061.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_3756_00061.mp4,ok,0.686803,0.000088,0.436752,1.123672,2026-05-28 21:56:01
62,source,3796,bounce_3796_00062.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3796_00062.mp4,ok,0.421478,0.000107,0.412538,0.834157,2026-05-28 21:56:01
62,sink,3796,bounce_3796_00062.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3796_00062.mp4,ok,0.732777,0.000090,0.585835,1.318729,2026-05-28 21:56:03
62,hq,3796,bounce_3796_00062.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_3796_00062.mp4,ok,1.542792,0.000091,0.321073,1.863986,2026-05-28 21:56:05
63,source,3827,bounce_3827_00063.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3827_00063.mp4,ok,0.183505,0.000089,0.417855,0.601477,2026-05-28 21:56:05
63,sink,3827,bounce_3827_00063.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3827_00063.mp4,ok,0.294535,0.000085,0.536753,0.831401,2026-05-28 21:56:06
63,hq,3827,bounce_3827_00063.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_3827_00063.mp4,ok,0.686865,0.000076,0.492040,1.179007,2026-05-28 21:56:07
68,source,3945,bounce_3945_00068.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_3945_00068.mp4,ok,1.407340,0.000086,0.348740,1.756195,2026-05-28 21:56:09
68,sink,3945,bounce_3945_00068.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_3945_00068.mp4,ok,2.092706,0.000088,0.560291,2.653301,2026-05-28 21:56:12
69,source,4176,bounce_4176_00069.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_4176_00069.mp4,ok,0.993737,0.000086,0.474848,1.468701,2026-05-28 21:56:13
69,sink,4176,bounce_4176_00069.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_4176_00069.mp4,ok,1.159683,0.000086,0.476538,1.636335,2026-05-28 21:56:15
69,hq,4176,bounce_4176_00069.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_4176_00069.mp4,ok,2.342691,0.000085,0.366368,2.709170,2026-05-28 21:56:17
71,source,4310,bounce_4310_00071.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_4310_00071.mp4,failed,2.222651,0.000000,0.000000,2.222757,2026-05-28 21:56:20
71,sink,4310,bounce_4310_00071.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_4310_00071.mp4,failed,1.426028,0.000000,0.000000,1.426129,2026-05-28 21:56:21
72,source,4480,bounce_4480_00072.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_4480_00072.mp4,ok,0.901487,0.000100,0.593490,1.495111,2026-05-28 21:56:23
72,sink,4480,bounce_4480_00072.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_4480_00072.mp4,ok,1.699371,0.000092,0.466067,2.165559,2026-05-28 21:56:25
72,hq,4480,bounce_4480_00072.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_4480_00072.mp4,ok,1.774333,0.000088,0.463194,2.237644,2026-05-28 21:56:27
