frame,src_index,sink_index,selected,selected_by_formula2,cost_formula1,cost_formula2,epipolar_cost,reprojection_cost,temporal_cost,is_ambiguous,alternatives
27,0,0,1,0,7.941990,7.941990,3.195747,7.941990,0.000000,0,
60,0,0,1,0,297.552033,297.552033,195.067210,297.552033,0.000000,0,
116,0,0,1,0,2.708890,2.708890,12.023534,2.708890,0.000000,0,
117,0,0,1,0,2.837350,6.623663,11.827392,2.837350,7.572625,0,
118,0,0,1,0,3.692607,7.462348,10.894564,3.692607,7.539482,0,
119,0,0,1,0,3.564620,4.504968,11.023964,3.564620,1.880697,0,
128,0,0,1,0,0.528607,0.528607,15.057582,0.528607,0.000000,0,
129,0,0,1,0,0.093510,5.743176,14.606515,0.093510,11.299332,0,
130,0,0,1,0,0.206364,6.797785,14.289598,0.206364,13.182841,0,
131,0,0,1,0,0.511402,9.928929,13.960517,0.511402,18.835054,0,
132,0,0,1,0,1.003705,6.184310,13.449081,1.003705,10.361210,0,
133,0,0,1,0,2.704947,10.904555,17.210281,2.704947,16.399216,0,
134,0,0,1,0,2.772583,14.018857,11.482932,2.772583,22.492548,0,
135,0,0,1,0,2.450564,11.893051,11.683848,2.450564,18.884975,0,
136,0,0,1,0,0.085281,11.278542,14.192032,0.085281,22.386523,0,
137,0,0,1,0,0.011421,15.176329,13.924115,0.011421,30.329815,0,
138,0,0,1,0,1.152516,15.218729,14.954405,1.152516,28.132426,0,
139,0,0,1,0,0.628424,11.217974,14.294498,0.628424,21.179101,0,
140,0,0,1,0,1.159332,18.160044,12.208214,1.159332,34.001423,0,
141,0,0,1,0,3.173893,21.604200,9.894004,3.173893,36.860614,0,
142,0,0,1,0,5.265616,29.675775,7.441980,5.265616,48.820317,0,
143,0,0,1,0,0.058295,16.372596,12.733894,0.058295,32.628601,0,
144,0,0,1,0,7.234092,34.728926,4.846566,7.234092,54.989668,0,src:0->sink:1|f1:149.0422|f2:507.9019
144,0,1,0,0,149.042212,507.901856,136.410469,149.042212,717.719287,0,src:0->sink:0|f1:7.2341|f2:34.7289
145,0,0,0,0,159.058615,515.718961,146.558033,159.058615,713.320692,0,src:0->sink:1|f1:0.8241|f2:27.5812
145,0,1,1,0,0.824106,27.581166,12.836094,0.824106,53.514121,0,src:0->sink:0|f1:159.0586|f2:515.7190
146,0,0,0,0,178.474642,546.114315,165.827085,178.474642,735.279345,0,src:0->sink:1|f1:6.2766|f2:38.5579;src:0->sink:2|f1:164.3823|f2:540.9183
