segment_index,seg_basename,cumulative_start_frame,frame_count
0,seg_00000.ts,0,180
1,seg_00001.ts,180,120
2,seg_00002.ts,300,120
3,seg_00003.ts,420,120
4,seg_00004.ts,540,120
5,seg_00005.ts,660,120
6,seg_00006.ts,780,120
7,seg_00007.ts,900,120
8,seg_00008.ts,1020,120
9,seg_00009.ts,1140,120
10,seg_00010.ts,1260,120
11,seg_00011.ts,1380,120
12,seg_00012.ts,1500,120
13,seg_00013.ts,1620,165
14,seg_00014.ts,1785,60
15,seg_00015.ts,1845,120
16,seg_00016.ts,1965,120
17,seg_00017.ts,2085,120
18,seg_00018.ts,2205,120
19,seg_00019.ts,2325,120
20,seg_00020.ts,2445,120
21,seg_00021.ts,2565,120
22,seg_00022.ts,2685,120
23,seg_00023.ts,2805,120
24,seg_00024.ts,2925,120
25,seg_00025.ts,3045,120
26,seg_00026.ts,3165,120
27,seg_00027.ts,3285,120
28,seg_00028.ts,3405,120
29,seg_00029.ts,3525,120
30,seg_00030.ts,3645,120
31,seg_00031.ts,3765,120
32,seg_00032.ts,3885,120
33,seg_00033.ts,4005,120
34,seg_00034.ts,4125,120
35,seg_00035.ts,4245,120
36,seg_00036.ts,4365,120
37,seg_00037.ts,4485,120
38,seg_00038.ts,4605,120
39,seg_00039.ts,4725,120
40,seg_00040.ts,4845,120
41,seg_00041.ts,4965,120
42,seg_00042.ts,5085,120
43,seg_00043.ts,5205,120
44,seg_00044.ts,5325,120
45,seg_00045.ts,5445,120
46,seg_00046.ts,5565,120
47,seg_00047.ts,5685,120
48,seg_00048.ts,5805,120
49,seg_00049.ts,5925,120
50,seg_00050.ts,6045,120
51,seg_00051.ts,6165,120
52,seg_00052.ts,6285,109
53,seg_00053.ts,6394,120
54,seg_00054.ts,6514,120
55,seg_00055.ts,6634,120
56,seg_00056.ts,6754,120
57,seg_00057.ts,6874,120
58,seg_00058.ts,6994,120
59,seg_00059.ts,7114,120
60,seg_00060.ts,7234,120
61,seg_00061.ts,7354,120
62,seg_00062.ts,7474,120
63,seg_00063.ts,7594,120
64,seg_00064.ts,7714,120
65,seg_00065.ts,7834,120
66,seg_00066.ts,7954,120
67,seg_00067.ts,8074,120
68,seg_00068.ts,8194,120
69,seg_00069.ts,8314,120
70,seg_00070.ts,8434,120
71,seg_00071.ts,8554,120
72,seg_00072.ts,8674,120
73,seg_00073.ts,8794,120
74,seg_00074.ts,8914,120
75,seg_00075.ts,9034,120
76,seg_00076.ts,9154,120
77,seg_00077.ts,9274,120
78,seg_00078.ts,9394,120
79,seg_00079.ts,9514,120
80,seg_00080.ts,9634,120
81,seg_00081.ts,9754,120
82,seg_00082.ts,9874,120
83,seg_00083.ts,9994,120
84,seg_00084.ts,10114,120
85,seg_00085.ts,10234,120
86,seg_00086.ts,10354,120
87,seg_00087.ts,10474,120
88,seg_00088.ts,10594,120
89,seg_00089.ts,10714,120
90,seg_00090.ts,10834,120
91,seg_00091.ts,10954,120
92,seg_00092.ts,11074,120
93,seg_00093.ts,11194,120
94,seg_00094.ts,11314,120
95,seg_00095.ts,11434,120
96,seg_00096.ts,11554,120
97,seg_00097.ts,11674,120
98,seg_00098.ts,11794,120
99,seg_00099.ts,11914,120
100,seg_00100.ts,12034,120
101,seg_00101.ts,12154,120
102,seg_00102.ts,12274,120
103,seg_00103.ts,12394,120
104,seg_00104.ts,12514,120
105,seg_00105.ts,12634,120
106,seg_00106.ts,12754,120
107,seg_00107.ts,12874,120
108,seg_00108.ts,12994,120
109,seg_00109.ts,13114,120
110,seg_00110.ts,13234,120
111,seg_00111.ts,13354,120
112,seg_00112.ts,13474,120
113,seg_00113.ts,13594,120
114,seg_00114.ts,13714,120
115,seg_00115.ts,13834,120
116,seg_00116.ts,13954,120
117,seg_00117.ts,14074,120
118,seg_00118.ts,14194,120
119,seg_00119.ts,14314,120
120,seg_00120.ts,14434,120
121,seg_00121.ts,14554,120
122,seg_00122.ts,14674,120
123,seg_00123.ts,14794,120
124,seg_00124.ts,14914,120
125,seg_00125.ts,15034,120
126,seg_00126.ts,15154,120
127,seg_00127.ts,15274,120
128,seg_00128.ts,15394,120
129,seg_00129.ts,15514,120
130,seg_00130.ts,15634,120
131,seg_00131.ts,15754,120
132,seg_00132.ts,15874,120
133,seg_00133.ts,15994,120
134,seg_00134.ts,16114,120
135,seg_00135.ts,16234,120
136,seg_00136.ts,16354,120
137,seg_00137.ts,16474,120
138,seg_00138.ts,16594,120
139,seg_00139.ts,16714,120
140,seg_00140.ts,16834,120
141,seg_00141.ts,16954,120
142,seg_00142.ts,17074,120
143,seg_00143.ts,17194,120
144,seg_00144.ts,17314,120
145,seg_00145.ts,17434,120
146,seg_00146.ts,17554,120
147,seg_00147.ts,17674,120
148,seg_00148.ts,17794,120
149,seg_00149.ts,17914,120
150,seg_00150.ts,18034,120
151,seg_00151.ts,18154,120
152,seg_00152.ts,18274,120
153,seg_00153.ts,18394,120
154,seg_00154.ts,18514,120
155,seg_00155.ts,18634,120
156,seg_00156.ts,18754,120
157,seg_00157.ts,18874,120
158,seg_00158.ts,18994,120
159,seg_00159.ts,19114,120
160,seg_00160.ts,19234,120
161,seg_00161.ts,19354,120
162,seg_00162.ts,19474,120
163,seg_00163.ts,19594,120
164,seg_00164.ts,19714,120
165,seg_00165.ts,19834,120
166,seg_00166.ts,19954,120
167,seg_00167.ts,20074,120
168,seg_00168.ts,20194,120
169,seg_00169.ts,20314,120
170,seg_00170.ts,20434,120
171,seg_00171.ts,20554,120
172,seg_00172.ts,20674,120
173,seg_00173.ts,20794,120
174,seg_00174.ts,20914,120
175,seg_00175.ts,21034,120
176,seg_00176.ts,21154,120
177,seg_00177.ts,21274,120
178,seg_00178.ts,21394,120
179,seg_00179.ts,21514,120
180,seg_00180.ts,21634,120
181,seg_00181.ts,21754,120
182,seg_00182.ts,21874,120
183,seg_00183.ts,21994,120
184,seg_00184.ts,22114,120
185,seg_00185.ts,22234,120
186,seg_00186.ts,22354,120
187,seg_00187.ts,22474,120
188,seg_00188.ts,22594,120
189,seg_00189.ts,22714,120
190,seg_00190.ts,22834,120
191,seg_00191.ts,22954,120
192,seg_00192.ts,23074,120
193,seg_00193.ts,23194,120
194,seg_00194.ts,23314,120
195,seg_00195.ts,23434,120
196,seg_00196.ts,23554,120
197,seg_00197.ts,23674,120
198,seg_00198.ts,23794,120
199,seg_00199.ts,23914,120
200,seg_00200.ts,24034,120
201,seg_00201.ts,24154,120
202,seg_00202.ts,24274,120
203,seg_00203.ts,24394,120
204,seg_00204.ts,24514,120
205,seg_00205.ts,24634,120
206,seg_00206.ts,24754,120
207,seg_00207.ts,24874,120
208,seg_00208.ts,24994,120
209,seg_00209.ts,25114,120
210,seg_00210.ts,25234,120
211,seg_00211.ts,25354,120
212,seg_00212.ts,25474,120
213,seg_00213.ts,25594,120
214,seg_00214.ts,25714,120
215,seg_00215.ts,25834,120
216,seg_00216.ts,25954,120
217,seg_00217.ts,26074,120
218,seg_00218.ts,26194,120
219,seg_00219.ts,26314,120
220,seg_00220.ts,26434,120
221,seg_00221.ts,26554,120
222,seg_00222.ts,26674,120
223,seg_00223.ts,26794,120
224,seg_00224.ts,26914,120
225,seg_00225.ts,27034,120
226,seg_00226.ts,27154,120
227,seg_00227.ts,27274,120
228,seg_00228.ts,27394,120
229,seg_00229.ts,27514,120
230,seg_00230.ts,27634,120
231,seg_00231.ts,27754,120
232,seg_00232.ts,27874,120
233,seg_00233.ts,27994,120
234,seg_00234.ts,28114,120
235,seg_00235.ts,28234,120
236,seg_00236.ts,28354,120
237,seg_00237.ts,28474,120
238,seg_00238.ts,28594,120
239,seg_00239.ts,28714,120
240,seg_00240.ts,28834,120
241,seg_00241.ts,28954,120
242,seg_00242.ts,29074,120
243,seg_00243.ts,29194,120
244,seg_00244.ts,29314,120
245,seg_00245.ts,29434,120
246,seg_00246.ts,29554,120
247,seg_00247.ts,29674,120
248,seg_00248.ts,29794,120
249,seg_00249.ts,29914,120
250,seg_00250.ts,30034,120
251,seg_00251.ts,30154,120
252,seg_00252.ts,30274,120
253,seg_00253.ts,30394,120
254,seg_00254.ts,30514,120
255,seg_00255.ts,30634,120
256,seg_00256.ts,30754,120
257,seg_00257.ts,30874,120
258,seg_00258.ts,30994,120
259,seg_00259.ts,31114,120
260,seg_00260.ts,31234,120
261,seg_00261.ts,31354,120
262,seg_00262.ts,31474,120
263,seg_00263.ts,31594,120
264,seg_00264.ts,31714,120
265,seg_00265.ts,31834,120
266,seg_00266.ts,31954,120
267,seg_00267.ts,32074,120
268,seg_00268.ts,32194,120
269,seg_00269.ts,32314,120
270,seg_00270.ts,32434,120
271,seg_00271.ts,32554,120
272,seg_00272.ts,32674,120
273,seg_00273.ts,32794,120
274,seg_00274.ts,32914,120
275,seg_00275.ts,33034,120
276,seg_00276.ts,33154,120
277,seg_00277.ts,33274,120
278,seg_00278.ts,33394,120
279,seg_00279.ts,33514,120
280,seg_00280.ts,33634,120
281,seg_00281.ts,33754,120
282,seg_00282.ts,33874,120
283,seg_00283.ts,33994,120
284,seg_00284.ts,34114,120
285,seg_00285.ts,34234,120
286,seg_00286.ts,34354,120
287,seg_00287.ts,34474,120
288,seg_00288.ts,34594,120
289,seg_00289.ts,34714,110
290,seg_00290.ts,34824,120
291,seg_00291.ts,34944,120
292,seg_00292.ts,35064,120
293,seg_00293.ts,35184,120
294,seg_00294.ts,35304,120
295,seg_00295.ts,35424,120
296,seg_00296.ts,35544,120
297,seg_00297.ts,35664,120
298,seg_00298.ts,35784,120
299,seg_00299.ts,35904,120
300,seg_00300.ts,36024,120
301,seg_00301.ts,36144,120
302,seg_00302.ts,36264,120
303,seg_00303.ts,36384,120
304,seg_00304.ts,36504,120
305,seg_00305.ts,36624,120
306,seg_00306.ts,36744,120
307,seg_00307.ts,36864,120
308,seg_00308.ts,36984,120
309,seg_00309.ts,37104,120
310,seg_00310.ts,37224,120
311,seg_00311.ts,37344,120
312,seg_00312.ts,37464,120
313,seg_00313.ts,37584,120
314,seg_00314.ts,37704,120
315,seg_00315.ts,37824,120
316,seg_00316.ts,37944,120
317,seg_00317.ts,38064,120
318,seg_00318.ts,38184,120
319,seg_00319.ts,38304,120
320,seg_00320.ts,38424,120
321,seg_00321.ts,38544,120
322,seg_00322.ts,38664,120
323,seg_00323.ts,38784,120
324,seg_00324.ts,38904,120
325,seg_00325.ts,39024,120
326,seg_00326.ts,39144,120
327,seg_00327.ts,39264,120
328,seg_00328.ts,39384,120
329,seg_00329.ts,39504,120
330,seg_00330.ts,39624,120
331,seg_00331.ts,39744,120
332,seg_00332.ts,39864,120
333,seg_00333.ts,39984,120
334,seg_00334.ts,40104,120
335,seg_00335.ts,40224,120
336,seg_00336.ts,40344,120
337,seg_00337.ts,40464,120
338,seg_00338.ts,40584,120
339,seg_00339.ts,40704,120
340,seg_00340.ts,40824,120
341,seg_00341.ts,40944,120
342,seg_00342.ts,41064,120
343,seg_00343.ts,41184,120
344,seg_00344.ts,41304,120
345,seg_00345.ts,41424,120
346,seg_00346.ts,41544,120
347,seg_00347.ts,41664,120
348,seg_00348.ts,41784,120
349,seg_00349.ts,41904,120
350,seg_00350.ts,42024,120
351,seg_00351.ts,42144,120
352,seg_00352.ts,42264,120
353,seg_00353.ts,42384,120
354,seg_00354.ts,42504,120
355,seg_00355.ts,42624,120
356,seg_00356.ts,42744,120
357,seg_00357.ts,42864,120
358,seg_00358.ts,42984,120
359,seg_00359.ts,43104,120
360,seg_00360.ts,43224,120
361,seg_00361.ts,43344,120
362,seg_00362.ts,43464,120
363,seg_00363.ts,43584,120
364,seg_00364.ts,43704,120
365,seg_00365.ts,43824,120
366,seg_00366.ts,43944,120
367,seg_00367.ts,44064,120
368,seg_00368.ts,44184,120
369,seg_00369.ts,44304,120
370,seg_00370.ts,44424,120
371,seg_00371.ts,44544,120
372,seg_00372.ts,44664,120
373,seg_00373.ts,44784,120
374,seg_00374.ts,44904,120
375,seg_00375.ts,45024,120
376,seg_00376.ts,45144,120
377,seg_00377.ts,45264,120
378,seg_00378.ts,45384,120
379,seg_00379.ts,45504,120
380,seg_00380.ts,45624,120
381,seg_00381.ts,45744,120
382,seg_00382.ts,45864,120
383,seg_00383.ts,45984,120
384,seg_00384.ts,46104,120
385,seg_00385.ts,46224,120
386,seg_00386.ts,46344,120
387,seg_00387.ts,46464,120
388,seg_00388.ts,46584,120
389,seg_00389.ts,46704,120
390,seg_00390.ts,46824,120
391,seg_00391.ts,46944,120
392,seg_00392.ts,47064,120
393,seg_00393.ts,47184,120
394,seg_00394.ts,47304,120
395,seg_00395.ts,47424,120
396,seg_00396.ts,47544,174
397,seg_00397.ts,47718,60
398,seg_00398.ts,47778,120
399,seg_00399.ts,47898,120
400,seg_00400.ts,48018,120
401,seg_00401.ts,48138,120
402,seg_00402.ts,48258,120
403,seg_00403.ts,48378,120
404,seg_00404.ts,48498,120
405,seg_00405.ts,48618,120
406,seg_00406.ts,48738,120
407,seg_00407.ts,48858,120
408,seg_00408.ts,48978,120
409,seg_00409.ts,49098,120
410,seg_00410.ts,49218,120
411,seg_00411.ts,49338,120
412,seg_00412.ts,49458,120
413,seg_00413.ts,49578,120
414,seg_00414.ts,49698,120
415,seg_00415.ts,49818,120
416,seg_00416.ts,49938,120
417,seg_00417.ts,50058,120
418,seg_00418.ts,50178,120
419,seg_00419.ts,50298,120
420,seg_00420.ts,50418,120
421,seg_00421.ts,50538,120
422,seg_00422.ts,50658,120
423,seg_00423.ts,50778,120
424,seg_00424.ts,50898,120
425,seg_00425.ts,51018,120
426,seg_00426.ts,51138,120
427,seg_00427.ts,51258,120
