frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
15604,12507381122000,1779983951665988136,0,32029,2
15605,12507414444000,1779983951699264843,0,31678,2
15606,12507447765000,1779983951732570568,0,32225,2
15607,12507481086000,1779983951765846719,0,32060,2
15608,12507514408000,1779983951799163370,0,32586,2
15609,12507547729000,1779983951833325939,0,33201,2
15610,12507581052000,1779983951866324352,0,32796,2
15611,12507614374000,1779983951917186709,0,32718,2
15612,12507647695000,1779983951960838855,0,32986,2
15613,12507681016000,1779983951994484522,0,32565,2
15614,12507714339000,1779983952027558156,0,32282,2
15615,12507747660000,1779983952061004065,0,41976,3
15616,12507780981000,1779983952096205643,0,32161,2
15617,12507814303000,1779983952126139270,0,32134,2
15618,12507847626000,1779983952158978203,0,32451,2
15619,12507880946000,1779983952193036717,0,32145,2
15620,12507914268000,1779983952228082259,0,32413,2
15621,12507947589000,1779983952260457197,0,33279,2
15622,12507980910000,1779983952294074530,0,32589,2
15623,12508014232000,1779983952327940676,0,32029,2
15624,12508047554000,1779983952361307567,0,32491,2
15625,12508080876000,1779983952394340720,0,31975,2
15626,12508114197000,1779983952427006137,0,31823,2
15627,12508147518000,1779983952460319176,0,32090,2
15628,12508180838000,1779983952494206118,0,31591,2
15629,12508214161000,1779983952527997542,0,31771,2
15630,12508247482000,1779983952561964595,0,32101,2
15631,12508280806000,1779983952596155811,0,31296,2
15632,12508314129000,1779983952627143114,0,30978,2
15633,12508347449000,1779983952663135684,0,31516,2
15634,12508380768000,1779983952694023080,0,31098,2
15635,12508414089000,1779983952727111233,0,40436,2
15636,12508447411000,1779983952760316329,0,30999,2
15637,12508480732000,1779983952810274639,1,201041,10
15638,12508514055000,1779983952830228156,0,56528,3
15639,12508547376000,1779983952861094570,0,32193,2
15640,12508580697000,1779983952894234297,0,17341,1
15641,12508614020000,1779983952920763122,0,14861,1
15642,12508647340000,1779983952960901450,0,15034,1
15643,12508680664000,1779983952994143750,0,14908,1
15644,12508713985000,1779983953010218599,0,18311,1
15645,12508747305000,1779983953031677454,0,18688,1
15646,12508780625000,1779983953064933864,0,26888,2
15647,12508813946000,1779983953098287052,0,26000,2
15648,12508847269000,1779983953133706553,0,26157,2
15649,12508880590000,1779983953166914446,0,25763,2
15650,12508913911000,1779983953201634584,0,25997,2
15651,12508947237000,1779983953235030308,0,26280,2
15652,12508980558000,1779983953265142359,0,25626,2
15653,12509013876000,1779983953298616379,0,25459,2
15654,12509047197000,1779983953333928641,0,31707,2
15655,12509080518000,1779983953366438707,0,30552,2
15656,12509113838000,1779983953398530313,0,30611,2
15657,12509147159000,1779983953431733799,0,31131,2
15658,12509180480000,1779983953464969876,0,30831,2
15659,12509213801000,1779983953498433711,0,31267,2
15660,12509247123000,1779983953531697714,0,31996,2
15661,12509280444000,1779983953565189530,0,32025,2
15662,12509313767000,1779983953598401089,0,32299,2
15663,12509347089000,1779983953631734795,0,32777,2
15664,12509380410000,1779983953665036780,0,32734,2
15665,12509413732000,1779983953698517059,0,33001,2
15666,12509447054000,1779983953731865895,0,33861,2
15667,12509480374000,1779983953765118268,0,34011,2
15668,12509513696000,1779983953798499567,0,33999,2
15669,12509547018000,1779983953832141214,0,33998,2
15670,12509580338000,1779983953865332366,0,34053,2
15671,12509613661000,1779983953898353965,0,33278,2
15672,12509646982000,1779983953932030390,0,33505,2
15673,12509680303000,1779983953967874202,0,43019,3
15674,12509713631000,1779983953999297112,0,33306,2
15675,12509746947000,1779983954032135322,0,33922,2
15676,12509780267000,1779983954066220799,0,33479,2
15677,12509813592000,1779983954101836281,0,33492,2
15678,12509846914000,1779983954132712769,0,34013,2
15679,12509880234000,1779983954167539091,0,33339,2
15680,12509913560000,1779983954204474115,0,33356,2
15681,12509946881000,1779983954231922821,0,33407,2
15682,12509980199000,1779983954265166251,0,33104,2
15683,12510013519000,1779983954299536855,0,32718,2
15684,12510046839000,1779983954335782922,0,33460,2
15685,12510080163000,1779983954364818095,0,33239,2
15686,12510113485000,1779983954398724185,0,33619,2
15687,12510146805000,1779983954431537599,0,33427,2
15688,12510180127000,1779983954464775381,0,33330,2
15689,12510213448000,1779983954500005773,0,33041,2
15690,12510246769000,1779983954531403812,0,33546,2
15691,12510280091000,1779983954564925461,0,33366,2
15692,12510313412000,1779983954598783773,0,32729,2
15693,12510346734000,1779983954631234858,0,26784,2
15694,12510380056000,1779983954664801229,0,32476,2
15695,12510413376000,1779983954698760948,0,26248,2
15696,12510446696000,1779983954732845166,0,32770,2
15697,12510480020000,1779983954779184361,1,200131,10
15698,12510513344000,1779983954809288950,0,58038,3
15699,12510546674000,1779983954840187753,0,32931,2
15700,12510579995000,1779983954864786856,0,18963,1
15701,12510613305000,1779983954897095609,0,11552,1
15702,12510646628000,1779983954930167817,0,16646,1
15703,12510679950000,1779983954964899751,0,16922,1
15704,12510713300000,1779983955002327827,0,16782,1
15705,12510746600000,1779983955038760300,0,20588,2
15706,12510779930000,1779983955069084053,0,20471,1
15707,12510813243000,1779983955101407491,0,19886,1
15708,12510846563000,1779983955135861205,0,29137,2
15709,12510879893000,1779983955169135579,0,28488,2
15710,12510913208000,1779983955201102742,0,27540,2
15711,12510946524000,1779983955235319366,0,27592,2
15712,12510979850000,1779983955268431019,0,27455,2
15713,12511013171000,1779983955300860808,0,26934,2
15714,12511046491000,1779983955335131931,0,26903,2
15715,12511079820000,1779983955366997170,0,26745,2
15716,12511113136000,1779983955397669364,0,26733,2
15717,12511146450000,1779983955431704878,0,32668,2
15718,12511179771000,1779983955464984585,0,32451,2
15719,12511213092000,1779983955499869092,0,31612,2
15720,12511246414000,1779983955531097132,0,32085,2
15721,12511279736000,1779983955564616633,0,31748,2
15722,12511313058000,1779983955597957228,0,31953,2
15723,12511346379000,1779983955632938790,0,32216,2
