frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
36437,13200137607000,1779984645335776034,0,12542,1
36438,13200170925000,1779984645362559881,0,18639,1
36439,13200204244000,1779984645391812342,0,12253,1
36440,13200237559000,1779984645427065831,0,18194,1
36441,13200270883000,1779984645459139975,0,18099,1
36442,13200304197000,1779984645492357918,0,18112,1
36443,13200337515000,1779984645525682118,0,18027,1
36444,13200370835000,1779984645559872547,0,12146,1
36445,13200404152000,1779984645592294335,0,18095,1
36446,13200437472000,1779984645625838051,0,18154,1
36447,13200470790000,1779984645658963458,0,18155,1
36448,13200504110000,1779984645691547502,0,12071,1
36449,13200537428000,1779984645725837781,0,18148,1
36450,13200570746000,1779984645764993345,0,17931,1
36451,13200604064000,1779984645792353666,0,17877,1
36452,13200637384000,1779984645826758296,0,18020,1
36453,13200670702000,1779984645859066492,0,12219,1
36454,13200704026000,1779984645893112534,0,18199,1
36455,13200737342000,1779984645926223145,0,17827,1
36456,13200770660000,1779984645961832314,0,18040,1
36457,13200803989000,1779984645994274045,0,12045,1
36458,13200837313000,1779984646026596926,0,18024,1
36459,13200870613000,1779984646059927256,0,17936,1
36460,13200903931000,1779984646094257202,0,17839,1
36461,13200937251000,1779984646128191765,0,17951,1
36462,13200970570000,1779984646159224664,0,12161,1
36463,13201003887000,1779984646193047857,0,17933,1
36464,13201037205000,1779984646226354521,0,17845,1
36465,13201070532000,1779984646259166173,0,17639,1
36466,13201103842000,1779984646291609868,0,11735,1
36467,13201137161000,1779984646326007886,0,17475,1
36468,13201170480000,1779984646359662786,0,17363,1
36469,13201203803000,1779984646393319408,0,17474,1
36470,13201237129000,1779984646427610095,0,17309,1
36471,13201270444000,1779984646461751303,0,17512,1
36472,13201303762000,1779984646491406388,0,11577,1
36473,13201337071000,1779984646525726574,0,17759,1
36474,13201370395000,1779984646559089034,0,17619,1
36475,13201403711000,1779984646602167487,0,17678,1
36476,13201437039000,1779984646634211816,0,11788,1
36477,13201470356000,1779984646663728792,0,17592,1
36478,13201503669000,1779984646697360137,0,11920,1
36479,13201536991000,1779984646725658815,0,17762,1
36480,13201570300000,1779984646757910753,0,12270,1
36481,13201603621000,1779984646797723770,1,98274,5
36482,13201636938000,1779984646826364869,0,26079,2
36483,13201670257000,1779984646857937816,0,13401,1
36484,13201703575000,1779984646892509851,0,6122,1
36485,13201736892000,1779984646923999670,0,8552,1
36486,13201770211000,1779984646957392073,0,8380,1
36487,13201803532000,1779984646990818902,0,8448,1
36488,13201836850000,1779984647023904902,0,8420,1
36489,13201870169000,1779984647057675985,0,12580,1
36490,13201903486000,1779984647092128467,0,12628,1
36491,13201936804000,1779984647124271110,0,12607,1
36492,13201970123000,1779984647157650994,0,12289,1
36493,13202003441000,1779984647190970640,0,12333,1
36494,13202036760000,1779984647224308803,0,12753,1
36495,13202070078000,1779984647257828241,0,12587,1
36496,13202103396000,1779984647291074147,0,12685,1
36497,13202136716000,1779984647325223373,0,18794,1
36498,13202170035000,1779984647357711289,0,12537,1
36499,13202203353000,1779984647391658981,0,18574,1
36500,13202236671000,1779984647425016681,0,18607,1
36501,13202269990000,1779984647457636947,0,12634,1
36502,13202303309000,1779984647491723970,0,18379,1
36503,13202336628000,1779984647525665514,0,18088,1
36504,13202369946000,1779984647558247095,0,17980,1
36505,13202403265000,1779984647591538037,0,17975,1
36506,13202436582000,1779984647624039508,0,11932,1
36507,13202469900000,1779984647658045347,0,17792,1
36508,13202503219000,1779984647692743158,0,17808,1
36509,13202536538000,1779984647724669545,0,17680,1
36510,13202569857000,1779984647758023560,0,17956,1
36511,13202603175000,1779984647791058598,0,12014,1
36512,13202636494000,1779984647824670387,0,17968,1
36513,13202669813000,1779984647858056438,0,17927,1
36514,13202703130000,1779984647891237178,0,17883,1
36515,13202736448000,1779984647924469917,0,17816,1
36516,13202769766000,1779984647957393178,0,12239,1
36517,13202803084000,1779984647991216242,0,18247,1
36518,13202836403000,1779984648024603035,0,18190,1
36519,13202869721000,1779984648057750867,0,18093,1
36520,13202903041000,1779984648090985143,0,12294,1
36521,13202936359000,1779984648125750231,0,18134,1
36522,13202969677000,1779984648158183499,0,18233,1
36523,13203002996000,1779984648190677712,0,12542,1
36524,13203036317000,1779984648226787873,0,18592,1
36525,13203069632000,1779984648257813902,0,18400,1
36526,13203102950000,1779984648290568055,0,12634,1
36527,13203136269000,1779984648324387934,0,18667,1
36528,13203169589000,1779984648357257048,0,12853,1
36529,13203202907000,1779984648391211481,0,18857,1
36530,13203236225000,1779984648424822122,0,12790,1
36531,13203269543000,1779984648457701143,0,18797,1
36532,13203302862000,1779984648491252822,0,19251,1
36533,13203336182000,1779984648524755131,0,12895,1
36534,13203369500000,1779984648557138752,0,13184,1
36535,13203402818000,1779984648591038334,0,19218,1
36536,13203436136000,1779984648623852078,0,13168,1
36537,13203469455000,1779984648657433627,0,19418,1
36538,13203502774000,1779984648690741754,0,13349,1
36539,13203536093000,1779984648724147064,0,13556,1
36540,13203569412000,1779984648757801631,0,19419,1
36541,13203602729000,1779984648796669106,1,97406,5
36542,13203636048000,1779984648825737106,0,26959,2
36543,13203669368000,1779984648857782454,0,13881,1
36544,13203702682000,1779984648889935005,0,6909,1
36545,13203736001000,1779984648923320704,0,7066,1
36546,13203769321000,1779984648956628813,0,7058,1
36547,13203802639000,1779984648991566435,0,9602,1
36548,13203835963000,1779984649024790637,0,9348,1
36549,13203869279000,1779984649058015209,0,9332,1
36550,13203902601000,1779984649089854431,0,9236,1
36551,13203935915000,1779984649123533608,0,13104,1
36552,13203969233000,1779984649156831142,0,12801,1
36553,13204002551000,1779984649190125843,0,12670,1
36554,13204035869000,1779984649225016096,0,12764,1
36555,13204069188000,1779984649256659783,0,12444,1
36556,13204102506000,1779984649290207554,0,12836,1
