frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
16343,12530635058000,1779983977356548191,0,19760,1
16344,12530668378000,1779983977389375814,0,13667,1
16345,12530701696000,1779983977422530303,0,13520,1
16346,12530735013000,1779983977456658690,0,19591,1
16347,12530768333000,1779983977489326685,0,13677,1
16348,12530801652000,1779983977523020965,0,19629,1
16349,12530834969000,1779983977555799218,0,13635,1
16350,12530868288000,1779983977589647034,0,19756,1
16351,12530901606000,1779983977622454008,0,13613,1
16352,12530934926000,1779983977656543562,0,19643,1
16353,12530968248000,1779983977688990800,0,13856,1
16354,12531001562000,1779983977723237723,0,19822,1
16355,12531034880000,1779983977756952096,0,13989,1
16356,12531068204000,1779983977789778552,0,20075,1
16357,12531101521000,1779983977824412952,0,13882,1
16358,12531134837000,1779983977856377343,0,19946,1
16359,12531168154000,1779983977889041208,0,13870,1
16360,12531201473000,1779983977922633637,0,13736,1
16361,12531234793000,1779983977957054632,0,19951,1
16362,12531268113000,1779983977989265150,0,13984,1
16363,12531301431000,1779983978023032578,0,20126,1
16364,12531334747000,1779983978055695369,0,13692,1
16365,12531368066000,1779983978089803478,0,20078,1
16366,12531401387000,1779983978122331437,0,13926,1
16367,12531434701000,1779983978158017253,0,20002,1
16368,12531468032000,1779983978191431832,0,13954,1
16369,12531501341000,1779983978224443008,0,20172,1
16370,12531534661000,1779983978255756184,0,14149,1
16371,12531567978000,1779983978291804032,0,14089,1
16372,12531601297000,1779983978324102623,0,19991,1
16373,12531634616000,1779983978356027774,0,14305,1
16374,12531667935000,1779983978389917385,0,20298,1
16375,12531701255000,1779983978421992016,0,14237,1
16376,12531734567000,1779983978455404169,0,14157,1
16377,12531767891000,1779983978489822072,0,20290,1
16378,12531801209000,1779983978522191959,0,14204,1
16379,12531834523000,1779983978558899652,0,20270,1
16380,12531867852000,1779983978591758348,0,14201,1
16381,12531901170000,1779983978628088990,1,80527,4
16382,12531934486000,1779983978656712082,0,28091,2
16383,12531967801000,1779983978691241373,0,15226,1
16384,12532001120000,1779983978722570215,0,7552,1
16385,12532034447000,1779983978758160809,0,7527,1
16386,12532067760000,1779983978793390221,0,10176,1
16387,12532101080000,1779983978825217947,0,10203,1
16388,12532134393000,1779983978855512484,0,9780,1
16389,12532167710000,1779983978891514074,0,10176,1
16390,12532201031000,1779983978922663492,0,14511,1
16391,12532234350000,1779983978956541456,0,14312,1
