EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
11984611694000,MATCHED,0,11984611694000,0,11986145196000,11984611694000,0,0.000000
11984645013000,MATCHED,1,11984645013000,1,11986178518000,11984645016000,-3000,-0.003000
11984678332000,MATCHED,2,11984678332000,2,11986211835000,11984678333000,-1000,-0.001000
11984711652000,MATCHED,3,11984711652000,3,11986245159000,11984711657000,-5000,-0.005000
11984744968000,MATCHED,4,11984744968000,4,11986278485000,11984744983000,-15000,-0.015000
11984778287000,MATCHED,5,11984778287000,5,11986311792000,11984778290000,-3000,-0.003000
11984811605000,MATCHED,6,11984811605000,6,11986345108000,11984811606000,-1000,-0.001000
11984844925000,MATCHED,7,11984844925000,7,11986378426000,11984844924000,1000,0.001000
11984878243000,MATCHED,8,11984878243000,8,11986411746000,11984878244000,-1000,-0.001000
11984911561000,MATCHED,9,11984911561000,9,11986445064000,11984911562000,-1000,-0.001000
11984944879000,MATCHED,10,11984944879000,10,11986478382000,11984944880000,-1000,-0.001000
11984978198000,MATCHED,11,11984978198000,11,11986511702000,11984978200000,-2000,-0.002000
11985011515000,MATCHED,12,11985011515000,12,11986545020000,11985011518000,-3000,-0.003000
11985044835000,MATCHED,13,11985044835000,13,11986578340000,11985044838000,-3000,-0.003000
11985078154000,MATCHED,14,11985078154000,14,11986611657000,11985078155000,-1000,-0.001000
11985111473000,MATCHED,15,11985111473000,15,11986644979000,11985111477000,-4000,-0.004000
11985144789000,MATCHED,16,11985144789000,16,11986678295000,11985144793000,-4000,-0.004000
11985178111000,MATCHED,17,11985178111000,17,11986711614000,11985178112000,-1000,-0.001000
11985211428000,MATCHED,18,11985211428000,18,11986744929000,11985211427000,1000,0.001000
11985244747000,MATCHED,19,11985244747000,19,11986778247000,11985244745000,2000,0.002000
11985278067000,MATCHED,20,11985278067000,20,11986811566000,11985278064000,3000,0.003000
11985311384000,MATCHED,21,11985311384000,21,11986844883000,11985311381000,3000,0.003000
11985344704000,MATCHED,22,11985344704000,22,11986878202000,11985344700000,4000,0.004000
11985378026000,MATCHED,23,11985378026000,23,11986911520000,11985378018000,8000,0.008000
11985411340000,MATCHED,24,11985411340000,24,11986944839000,11985411337000,3000,0.003000
11985444656000,MATCHED,25,11985444656000,25,11986978157000,11985444655000,1000,0.001000
11985477976000,MATCHED,26,11985477976000,26,11987011476000,11985477974000,2000,0.002000
11985511293000,MATCHED,27,11985511293000,27,11987044794000,11985511292000,1000,0.001000
11985544612000,MATCHED,28,11985544612000,28,11987078113000,11985544611000,1000,0.001000
11985577931000,MATCHED,29,11985577931000,29,11987111432000,11985577930000,1000,0.001000
11985611249000,MATCHED,30,11985611249000,30,11987144750000,11985611248000,1000,0.001000
11985644567000,MATCHED,31,11985644567000,31,11987178069000,11985644567000,0,0.000000
11985677886000,MATCHED,32,11985677886000,32,11987211387000,11985677885000,1000,0.001000
11985711205000,MATCHED,33,11985711205000,33,11987244707000,11985711205000,0,0.000000
11985744523000,MATCHED,34,11985744523000,34,11987278024000,11985744522000,1000,0.001000
11985777841000,MATCHED,35,11985777841000,35,11987311343000,11985777841000,0,0.000000
11985811160000,MATCHED,36,11985811160000,36,11987344662000,11985811160000,0,0.000000
11985844478000,MATCHED,37,11985844478000,37,11987377980000,11985844478000,0,0.000000
11985877798000,MATCHED,38,11985877798000,38,11987411298000,11985877796000,2000,0.002000
11985911115000,MATCHED,39,11985911115000,39,11987444617000,11985911115000,0,0.000000
11985944434000,MATCHED,40,11985944434000,40,11987477935000,11985944433000,1000,0.001000
11985977752000,MATCHED,41,11985977752000,41,11987511255000,11985977753000,-1000,-0.001000
11986011071000,MATCHED,42,11986011071000,42,11987544574000,11986011072000,-1000,-0.001000
11986044391000,MATCHED,43,11986044391000,43,11987577891000,11986044389000,2000,0.002000
11986077706000,MATCHED,44,11986077706000,44,11987611209000,11986077707000,-1000,-0.001000
11986111024000,MATCHED,45,11986111024000,45,11987644528000,11986111026000,-2000,-0.002000
11986144342000,MATCHED,46,11986144342000,46,11987677846000,11986144344000,-2000,-0.002000
11986177663000,MATCHED,47,11986177663000,47,11987711165000,11986177663000,0,0.000000
11986210986000,MATCHED,48,11986210986000,48,11987744484000,11986210982000,4000,0.004000
11986244299000,MATCHED,49,11986244299000,49,11987777802000,11986244300000,-1000,-0.001000
11986277621000,MATCHED,50,11986277621000,50,11987811120000,11986277618000,3000,0.003000
11986310938000,MATCHED,51,11986310938000,51,11987844439000,11986310937000,1000,0.001000
11986344253000,MATCHED,52,11986344253000,52,11987877758000,11986344256000,-3000,-0.003000
11986377574000,MATCHED,53,11986377574000,53,11987911080000,11986377578000,-4000,-0.004000
11986410895000,MATCHED,54,11986410895000,54,11987944396000,11986410894000,1000,0.001000
11986444212000,MATCHED,55,11986444212000,55,11987977711000,11986444209000,3000,0.003000
11986477532000,MATCHED,56,11986477532000,56,11988011029000,11986477527000,5000,0.005000
11986510851000,MATCHED,57,11986510851000,57,11988044349000,11986510847000,4000,0.004000
11986544169000,MATCHED,58,11986544169000,58,11988077666000,11986544164000,5000,0.005000
11986577488000,MATCHED,59,11986577488000,59,11988110984000,11986577482000,6000,0.006000
11986610803000,MATCHED,60,11986610803000,60,11988144305000,11986610803000,0,0.000000
11986644122000,MATCHED,61,11986644122000,61,11988177622000,11986644120000,2000,0.002000
11986677442000,MATCHED,62,11986677442000,62,11988210944000,11986677442000,0,0.000000
11986710758000,MATCHED,63,11986710758000,63,11988244259000,11986710757000,1000,0.001000
11986744079000,MATCHED,64,11986744079000,64,11988277577000,11986744075000,4000,0.004000
11986777395000,MATCHED,65,11986777395000,65,11988310895000,11986777393000,2000,0.002000
