frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
13485,5186518064000,1784217900591313023,0,27300,2
13486,5186551385000,1784217900624896187,0,36172,2
13487,5186584705000,1784217900657122568,0,35971,2
13488,5186618027000,1784217900690315625,0,35917,2
13489,5186651349000,1784217900722706282,0,27445,2
13490,5186684670000,1784217900758600813,0,35787,2
13491,5186717990000,1784217900790145126,0,35580,2
13492,5186751312000,1784217900823519533,0,35621,2
13493,5186784633000,1784217900857890097,0,26246,2
13494,5186817954000,1784217900890290606,0,35522,2
13495,5186851277000,1784217900924009435,0,35269,2
13496,5186884598000,1784217900956707293,0,26515,2
13497,5186917919000,1784217900990479604,0,35622,2
13498,5186951241000,1784217901022964815,0,26726,2
13499,5186984563000,1784217901074056833,1,200303,10
13500,5187017882000,1784217901094358215,0,52573,3
13501,5187051203000,1784217901122903205,0,28061,2
13502,5187084527000,1784217901155340139,0,15381,1
13503,5187117851000,1784217901187919035,0,15905,1
13504,5187151169000,1784217901221266313,0,16281,1
13505,5187184491000,1784217901254528128,0,16517,1
13506,5187217812000,1784217901288589232,0,24168,2
13507,5187251133000,1784217901321720308,0,23359,2
13508,5187284455000,1784217901355094011,0,23549,2
13509,5187317776000,1784217901388395400,0,22935,2
13510,5187351098000,1784217901421942028,0,23272,2
13511,5187384419000,1784217901455906152,0,29060,2
13512,5187417740000,1784217901491550648,0,28463,2
13513,5187451063000,1784217901523668363,0,28719,2
13514,5187484383000,1784217901556438220,0,28732,2
13515,5187517706000,1784217901589683277,0,28482,2
13516,5187551027000,1784217901623728992,0,28889,2
13517,5187584349000,1784217901656207889,0,28831,2
13518,5187617671000,1784217901691499000,0,28325,2
13519,5187651002000,1784217901725198515,0,28560,2
13520,5187684324000,1784217901757666116,0,28087,2
13521,5187717635000,1784217901795711738,0,28099,2
13522,5187750957000,1784217901830877276,0,36931,2
13523,5187784277000,1784217901858212869,0,27466,2
13524,5187817602000,1784217901890581267,0,37232,2
13525,5187850921000,1784217901923260625,0,28270,2
13526,5187884243000,1784217901956999825,0,36846,2
13527,5187917562000,1784217901991718645,0,37099,2
13528,5187950883000,1784217902023488827,0,27785,2
13529,5187984206000,1784217902056965325,0,36845,2
13530,5188017530000,1784217902090156512,0,28145,2
13531,5188050847000,1784217902126359559,0,36668,2
13532,5188084173000,1784217902160608420,0,36745,2
13533,5188117493000,1784217902194807319,0,27865,2
13534,5188150813000,1784217902224087450,0,36137,2
13535,5188184134000,1784217902259028268,0,36135,2
