frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
36673,5958361662000,1784218673423597459,0,13053,1
36674,5958394980000,1784218673456310524,0,12974,1
36675,5958428301000,1784218673489253271,0,13090,1
36676,5958461618000,1784218673522564105,0,13125,1
36677,5958494936000,1784218673555883476,0,13115,1
36678,5958528255000,1784218673589836265,0,12714,1
36679,5958561576000,1784218673623072674,0,19018,1
36680,5958594892000,1784218673655757406,0,12843,1
36681,5958628210000,1784218673690798865,0,19011,1
36682,5958661527000,1784218673722881605,0,19213,1
36683,5958694846000,1784218673755741538,0,13275,1
36684,5958728165000,1784218673791044882,0,19305,1
36685,5958761482000,1784218673822152395,0,13231,1
36686,5958794802000,1784218673856389660,0,19449,1
36687,5958828120000,1784218673888954764,0,13087,1
36688,5958861438000,1784218673922934497,0,19373,1
36689,5958894757000,1784218673956244090,0,13159,1
36690,5958928080000,1784218673990378024,0,19250,1
36691,5958961406000,1784218674025019118,0,19279,1
36692,5958994718000,1784218674057495853,0,13409,1
36693,5959028033000,1784218674090879223,0,13161,1
36694,5959061354000,1784218674123561899,0,19474,1
36695,5959094681000,1784218674157861442,0,19503,1
36696,5959127989000,1784218674188880568,0,13158,1
36697,5959161306000,1784218674222750024,0,19334,1
36698,5959194622000,1784218674255670993,0,13211,1
36699,5959227943000,1784218674289523486,0,19494,1
36700,5959261260000,1784218674322071387,0,13494,1
36701,5959294578000,1784218674356019360,0,19764,1
36702,5959327897000,1784218674388740629,0,13404,1
36703,5959361216000,1784218674424879831,0,19555,1
36704,5959394534000,1784218674455995252,0,13611,1
36705,5959427856000,1784218674490530606,0,19711,1
36706,5959461173000,1784218674522513514,0,13574,1
36707,5959494490000,1784218674556284250,0,19940,1
36708,5959527809000,1784218674588821354,0,13522,1
36709,5959561127000,1784218674622626478,0,19913,1
36710,5959594445000,1784218674655296728,0,13478,1
36711,5959627764000,1784218674689532957,0,20623,2
36712,5959661084000,1784218674721953211,0,13813,1
36713,5959694400000,1784218674755559875,0,13647,1
36714,5959727720000,1784218674789333814,0,19798,1
36715,5959761038000,1784218674822156673,0,14267,1
36716,5959794356000,1784218674855875131,0,20131,1
36717,5959827674000,1784218674888640455,0,13687,1
36718,5959860993000,1784218674922715575,0,20060,1
36719,5959894312000,1784218674956308331,0,13528,1
36720,5959927635000,1784218674989452871,0,19794,1
36721,5959960948000,1784218675030561227,1,99880,5
36722,5959994266000,1784218675057611241,0,28518,2
36723,5960027587000,1784218675090010551,0,14908,1
36724,5960060911000,1784218675122245826,0,7327,1
36725,5960094226000,1784218675157285766,0,7569,1
36726,5960127546000,1784218675190365437,0,7555,1
36727,5960160863000,1784218675221882796,0,7659,1
36728,5960194178000,1784218675255711716,0,10362,1
36729,5960227505000,1784218675288412373,0,10045,1
36730,5960260815000,1784218675324677611,0,9851,1
36731,5960294135000,1784218675355314316,0,9781,1
36732,5960327454000,1784218675388821980,0,9861,1
36733,5960360774000,1784218675424820852,0,14457,1
36734,5960394088000,1784218675455005766,0,14003,1
36735,5960427407000,1784218675488432692,0,14300,1
36736,5960460726000,1784218675523223431,0,14350,1
36737,5960494044000,1784218675555045082,0,14163,1
36738,5960527364000,1784218675588562562,0,14456,1
36739,5960560681000,1784218675621689010,0,14451,1
36740,5960594000000,1784218675656168680,0,14532,1
36741,5960627318000,1784218675688309864,0,14445,1
36742,5960660637000,1784218675721589384,0,14475,1
36743,5960693955000,1784218675755604986,0,14545,1
36744,5960727274000,1784218675788227941,0,14615,1
36745,5960760591000,1784218675821456869,0,14396,1
36746,5960793910000,1784218675856521364,0,20826,2
36747,5960827229000,1784218675888548253,0,14426,1
36748,5960860551000,1784218675922202749,0,14284,1
36749,5960893866000,1784218675957321022,0,14248,1
36750,5960927203000,1784218675989633388,0,20665,2
36751,5960960505000,1784218676023413012,0,14022,1
36752,5960993845000,1784218676056657329,0,20719,2
36753,5961027142000,1784218676091014612,0,14196,1
36754,5961060464000,1784218676121591928,0,14428,1
36755,5961093777000,1784218676154680081,0,14531,1
36756,5961127096000,1784218676188775441,0,20667,2
36757,5961160413000,1784218676221286620,0,14235,1
36758,5961193731000,1784218676255388054,0,20828,2
36759,5961227050000,1784218676288149452,0,14433,1
36760,5961260369000,1784218676321693912,0,15404,1
36761,5961293687000,1784218676355215559,0,15030,1
36762,5961327007000,1784218676389998743,0,20783,2
36763,5961360327000,1784218676421849005,0,14340,1
36764,5961393644000,1784218676455261949,0,20883,2
36765,5961426961000,1784218676488049087,0,14211,1
36766,5961460280000,1784218676521192053,0,14139,1
36767,5961493599000,1784218676556895539,0,20409,1
36768,5961526917000,1784218676588012719,0,13975,1
36769,5961560236000,1784218676622517870,0,21163,2
36770,5961593554000,1784218676654486556,0,14243,1
36771,5961626873000,1784218676688467307,0,14086,1
36772,5961660191000,1784218676721746364,0,20319,1
36773,5961693509000,1784218676757399481,0,15129,1
36774,5961726829000,1784218676788010649,0,14167,1
36775,5961760148000,1784218676821649052,0,20074,1
36776,5961793464000,1784218676856490254,0,19906,1
36777,5961826784000,1784218676888260258,0,13553,1
36778,5961860106000,1784218676923231884,0,19773,1
36779,5961893436000,1784218676958850835,0,13444,1
36780,5961926741000,1784218676990133438,0,19466,1
36781,5961960065000,1784218677031196831,1,97690,5
36782,5961993375000,1784218677056465759,0,27280,2
36783,5962026696000,1784218677091103982,0,14132,1
36784,5962060020000,1784218677122957633,0,6995,1
36785,5962093333000,1784218677153867593,0,7218,1
36786,5962126664000,1784218677187871529,0,6959,1
36787,5962159973000,1784218677221148678,0,9334,1
36788,5962193288000,1784218677254404532,0,9257,1
36789,5962226606000,1784218677287827846,0,9220,1
36790,5962259925000,1784218677323844717,0,8995,1
36791,5962293243000,1784218677354757121,0,13161,1
36792,5962326568000,1784218677389269235,0,12937,1
36793,5962359885000,1784218677422084021,0,12634,1
