frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
10612,7013407239000,1784219729930733390,0,17717,1
10613,7013440551000,1784219729960371711,0,17806,1
10614,7013473870000,1784219729993937527,0,17941,1
10615,7013507193000,1784219730027172439,0,12070,1
10616,7013540507000,1784219730062559864,0,17684,1
10617,7013573835000,1784219730097628182,0,11838,1
10618,7013607151000,1784219730129321536,0,17827,1
10619,7013640467000,1784219730162852593,0,18108,1
10620,7013673787000,1784219730197619618,0,12046,1
10621,7013707102000,1784219730234956929,1,87270,5
10622,7013740420000,1784219730266009272,0,26371,2
10623,7013773740000,1784219730295323746,0,13107,1
10624,7013807062000,1784219730328210772,0,8185,1
10625,7013840384000,1784219730361612256,0,7924,1
10626,7013873695000,1784219730393143206,0,7825,1
10627,7013907014000,1784219730426110583,0,11925,1
10628,7013940328000,1784219730458108805,0,11875,1
10629,7013973646000,1784219730491914951,0,11767,1
10630,7014006967000,1784219730524992365,0,11678,1
10631,7014040293000,1784219730560175644,0,11885,1
10632,7014073605000,1784219730594382045,0,11807,1
10633,7014106935000,1784219730628088545,0,11971,1
10634,7014140249000,1784219730660738037,0,11719,1
10635,7014173558000,1784219730692944034,0,17843,1
10636,7014206879000,1784219730727354414,0,18024,1
10637,7014240196000,1784219730759311785,0,18135,1
10638,7014273514000,1784219730792093683,0,18062,1
10639,7014306829000,1784219730824870285,0,12008,1
10640,7014340148000,1784219730858776764,0,18258,1
10641,7014373468000,1784219730891865825,0,18081,1
10642,7014406783000,1784219730925247032,0,18114,1
10643,7014440101000,1784219730958076337,0,11884,1
10644,7014473420000,1784219731006936336,0,17734,1
10645,7014506741000,1784219731040807759,0,18074,1
10646,7014540057000,1784219731074629406,0,18090,1
10647,7014573378000,1784219731109107081,0,12253,1
10648,7014606699000,1784219731143176447,0,17973,1
10649,7014640014000,1784219731177282960,0,18062,1
10650,7014673334000,1784219731212213724,0,18396,1
10651,7014706650000,1784219731245317748,0,12408,1
10652,7014739971000,1784219731277973741,0,18010,1
10653,7014773287000,1784219731306000358,0,18343,1
10654,7014806605000,1784219731337452030,0,12100,1
10655,7014839924000,1784219731372934028,0,18076,1
10656,7014873243000,1784219731411065331,0,18303,1
