EventWall_ns,RowType,Source_Index,Source_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219375939431528,MATCHED,0,1784219375939431528,28,1784219375927090382,12341146,12.341146
1784219375965225688,MATCHED,1,1784219375965225688,29,1784219375959087164,6138524,6.138524
1784219375996437048,MATCHED,2,1784219375996437048,30,1784219375992587372,3849676,3.849676
1784219376021474809,MATCHED,3,1784219376021474809,31,1784219376027145233,-5670424,-5.670424
1784219376050531508,MATCHED,4,1784219376050531508,32,1784219376060039764,-9508256,-9.508256
1784219376084286803,MATCHED,5,1784219376084286803,33,1784219376092305117,-8018314,-8.018314
1784219376117672213,MATCHED,6,1784219376117672213,34,1784219376126913070,-9240857,-9.240857
1784219376151185881,MATCHED,7,1784219376151185881,35,1784219376162032573,-10846692,-10.846692
1784219376184080612,MATCHED,8,1784219376184080612,36,1784219376194454294,-10373682,-10.373682
1784219376217640649,MATCHED,9,1784219376217640649,37,1784219376226710407,-9069758,-9.069758
1784219376252133270,MATCHED,10,1784219376252133270,38,1784219376258797577,-6664307,-6.664307
1784219376284278953,MATCHED,11,1784219376284278953,39,1784219376294403203,-10124250,-10.124250
1784219376317457828,MATCHED,12,1784219376317457828,40,1784219376325590625,-8132797,-8.132797
1784219376352417962,MATCHED,13,1784219376352417962,41,1784219376358995612,-6577650,-6.577650
1784219376383560137,MATCHED,14,1784219376383560137,42,1784219376393512122,-9951985,-9.951985
1784219376416863123,MATCHED,15,1784219376416863123,43,1784219376425462146,-8599023,-8.599023
1784219376450149201,MATCHED,16,1784219376450149201,44,1784219376458862355,-8713154,-8.713154
1784219376483448297,MATCHED,17,1784219376483448297,45,1784219376492174991,-8726694,-8.726694
1784219376516767763,MATCHED,18,1784219376516767763,46,1784219376526510244,-9742481,-9.742481
1784219376551053571,MATCHED,19,1784219376551053571,47,1784219376558728209,-7674638,-7.674638
1784219376583414159,MATCHED,20,1784219376583414159,48,1784219376593432309,-10018150,-10.018150
1784219376616789736,MATCHED,21,1784219376616789736,49,1784219376625529349,-8739613,-8.739613
1784219376650832028,MATCHED,22,1784219376650832028,50,1784219376659658975,-8826947,-8.826947
1784219376683502798,MATCHED,23,1784219376683502798,51,1784219376694673701,-11170903,-11.170903
1784219376716672433,MATCHED,24,1784219376716672433,52,1784219376726490523,-9818090,-9.818090
1784219376749968973,MATCHED,25,1784219376749968973,53,1784219376759870251,-9901278,-9.901278
1784219376783530159,MATCHED,26,1784219376783530159,54,1784219376792018106,-8487947,-8.487947
1784219376816687146,MATCHED,27,1784219376816687146,55,1784219376825356779,-8669633,-8.669633
1784219376851779260,MATCHED,28,1784219376851779260,56,1784219376859839789,-8060529,-8.060529
1784219376883345542,MATCHED,29,1784219376883345542,57,1784219376892613284,-9267742,-9.267742
1784219376916683341,MATCHED,30,1784219376916683341,58,1784219376926445858,-9762517,-9.762517
1784219376949380426,MATCHED,31,1784219376949380426,59,1784219376958835321,-9454895,-9.454895
1784219376983158072,MATCHED,32,1784219376983158072,60,1784219377003430685,-20272613,-20.272613
1784219377016599056,MATCHED,33,1784219377016599056,61,1784219377027679380,-11080324,-11.080324
1784219377049778765,MATCHED,34,1784219377049778765,62,1784219377058366494,-8587729,-8.587729
1784219377083704225,MATCHED,35,1784219377083704225,63,1784219377089908282,-6204057,-6.204057
1784219377117078283,MATCHED,36,1784219377117078283,64,1784219377123182030,-6103747,-6.103747
1784219377149696498,MATCHED,37,1784219377149696498,65,1784219377157181639,-7485141,-7.485141
1784219377183418127,MATCHED,38,1784219377183418127,66,1784219377190331185,-6913058,-6.913058
1784219377215755104,MATCHED,39,1784219377215755104,67,1784219377223960002,-8204898,-8.204898
1784219377249763711,MATCHED,40,1784219377249763711,68,1784219377257728077,-7964366,-7.964366
1784219377282972031,MATCHED,41,1784219377282972031,69,1784219377293292277,-10320246,-10.320246
1784219377315755003,MATCHED,42,1784219377315755003,70,1784219377328758424,-13003421,-13.003421
1784219377350755562,MATCHED,43,1784219377350755562,71,1784219377362214688,-11459126,-11.459126
1784219377382609433,MATCHED,44,1784219377382609433,72,1784219377394375079,-11765646,-11.765646
1784219377416348803,MATCHED,45,1784219377416348803,73,1784219377427739511,-11390708,-11.390708
1784219377449727824,MATCHED,46,1784219377449727824,74,1784219377462943846,-13216022,-13.216022
1784219377482300002,MATCHED,47,1784219377482300002,75,1784219377495585472,-13285470,-13.285470
1784219377516232833,MATCHED,48,1784219377516232833,76,1784219377527920750,-11687917,-11.687917
1784219377549080415,MATCHED,49,1784219377549080415,77,1784219377564117998,-15037583,-15.037583
1784219377582876914,MATCHED,50,1784219377582876914,78,1784219377595328587,-12451673,-12.451673
1784219377617169258,MATCHED,51,1784219377617169258,79,1784219377625732204,-8562946,-8.562946
1784219377654137110,MATCHED,52,1784219377654137110,80,1784219377659649388,-5512278,-5.512278
1784219377685008067,MATCHED,53,1784219377685008067,81,1784219377693655275,-8647208,-8.647208
